"Data Source","WDI Database Archives",

"Last Updated Date","2020-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4050365146091","212.253754731193","275.532410224266","338.826294120424","520.572461354215","576.551713072094","774.328772452727","770.67926370338","783.161689461129","564.589588036576","729.613234300266","1007.45218017143","980.008218455444","777.105156185121","874.085828485759","681.051374053873","609.34373963","","","","","","","",
"Angola","AGO","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3358.82819975802","2751.92834556769","2614.07643852687","1985.71544317841","2691.08848392428","2740.51945173911","2903.93999597775","2766.83869301688","3062.28197239408","3147.65137727169","3134.43499095571","3541.05932249497","3330.65341040735","3318.75635767162","3091.51504648882","2618.66178234239","2206.65961969108","1969.71702235542","1628.35231261136","1092.34030162","","","","","","","",
"Albania","ALB","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1630.56418608294","1410.64138725198","1477.64948756141","1563.97836890672","1792.66804715067","1624.50545935786","1834.62678662229","1782.54634494212","1917.78551523468","2191.47711106996","2266.32070490919","2130.50005937599","1995.48835749007","1979.55337920954","2092.09969141241","1833.84233635685","1709.62935970691","1508.65767467644","1142.77442738086","848.50333343","","","","","","","",
"Andorra","AND","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2973.05176410343","3007.8919076915","3042.2291152889","3274.82062434202","3019.59573380402","2984.31006688766","3300.15","3440.33027524129","3637.15163454688","3657.57329526114","3620.83511924733","3464.99323933658","3394.2490312854","3205.37073966896","3221.36665492864","3075.29982338042","2573.25070433163","2366.50650975989","1887.46252748293","1326.47696849","","","","","","","",
"Netherlands Antilles","ANT","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab League states","ARB","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2405.74733104323","2421.54159526647","2392.95043260224","2352.11449386093","2455.34733576684","2548.65096463157","2646.59657678629","2590.67210978734","2706.5466856734","2707.50048932471","2748.42101350534","2788.82989311469","2753.43149658897","2680.25683191323","2761.94355797108","2454.13051425751","2161.36027342515","1910.14385536108","1431.47539450121","1073.83909464741","","","","","","","",
"United Arab Emirates","ARE","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3553.62428933353","3566.30194747763","3525.35426506297","3397.78487622065","3367.27854813757","3344.8526345579","3757.14108323065","3313.70138526396","3531.61206349459","3317.84114241181","3289.45170599865","3052.72292076522","2940.310884785","2908.25055873077","3302.67295442393","2934.05837709032","2525.46606559103","2214.59641876821","1669.03428871136","1229.82309143","","","","","","","",
"Argentina","ARG","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2689.08836569481","2597.18406604383","2463.0488821489","2452.90893556724","2493.2309492575","2440.9771122267","2593.81758702864","2661.30682304443","2751.65702200065","2688.14949514357","2769.53083794051","2702.18195408653","2784.65235708802","2790.20806449564","2975.26959880675","2559.46529785978","2252.95024822604","1971.4454040741","1338.40798294771","942.25333356","","","","","","","",
"Armenia","ARM","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1396.28715041761","1253.56999186852","1093.98192023379","1275.89062018734","1247.40208565734","810.407121992661","1241.32918465092","1243.39457859683","1430.9901453532","1378.21737144654","1813.45651215673","2127.83843790963","2234.24587170633","2063.22169847783","1979.18423758306","1712.43802630259","1761.93495942455","1297.27967061859","977.67517838941","730.70077059","","","","","","","",
