,Location,Period,Indicator,Dim1,First Tooltip
3,Afghanistan,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,52.6
15,Albania,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,69.03
27,Algeria,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,65.99
39,Angola,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,53.66
51,Antigua and Barbuda,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,66.81
63,Argentina,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,66.86
75,Armenia,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,66.0
87,Australia,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,70.56
99,Austria,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,70.39
111,Azerbaijan,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,63.09
123,Bahamas,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,64.17
135,Bahrain,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,66.24
147,Bangladesh,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,63.76
159,Barbados,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,67.21
171,Belarus,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,65.06
183,Belgium,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,69.99
195,Belize,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,65.06
207,Benin,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,54.29
219,Bhutan,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,62.6
231,Bolivia (Plurinational State of),2015,Healthy life expectancy (HALE) at birth (years),Both sexes,62.73
243,Bosnia and Herzegovina,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,66.97
255,Botswana,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,52.78
267,Brazil,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,64.7
279,Brunei Darussalam,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,65.71
291,Bulgaria,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,65.91
303,Burkina Faso,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,53.35
315,Burundi,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,53.96
327,Cabo Verde,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,65.25
339,Cambodia,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,60.75
351,Cameroon,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,51.78
363,Canada,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,71.15
375,Central African Republic,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,44.16
387,Chad,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,50.53
399,Chile,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,69.44
411,China,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,68.01
423,Colombia,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,68.29
435,Comoros,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,58.19
447,Congo,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,54.9
459,Costa Rica,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,70.04
471,Côte d’Ivoire,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,52.52
483,Croatia,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,67.9
495,Cuba,2015,Healthy life expectancy (HALE) at birth (years),Both sexes,68.05
