Location,Indicator,Period,First Tooltip
Afghanistan,Proportion of population with primary reliance on clean fuels and technologies (%),2016,31
Albania,Proportion of population with primary reliance on clean fuels and technologies (%),2016,77
Algeria,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Andorra,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Angola,Proportion of population with primary reliance on clean fuels and technologies (%),2016,48
Antigua and Barbuda,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Argentina,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Armenia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Australia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Austria,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Azerbaijan,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Bahamas,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Bahrain,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Bangladesh,Proportion of population with primary reliance on clean fuels and technologies (%),2016,20
Barbados,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Belarus,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Belgium,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Belize,Proportion of population with primary reliance on clean fuels and technologies (%),2016,83
Benin,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Bhutan,Proportion of population with primary reliance on clean fuels and technologies (%),2016,75
Bolivia (Plurinational State of),Proportion of population with primary reliance on clean fuels and technologies (%),2016,83
Bosnia and Herzegovina,Proportion of population with primary reliance on clean fuels and technologies (%),2016,44
Botswana,Proportion of population with primary reliance on clean fuels and technologies (%),2016,54
Brazil,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Brunei Darussalam,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Burkina Faso,Proportion of population with primary reliance on clean fuels and technologies (%),2016,9
Burundi,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Cabo Verde,Proportion of population with primary reliance on clean fuels and technologies (%),2016,76
Cambodia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,19
Cameroon,Proportion of population with primary reliance on clean fuels and technologies (%),2016,24
Canada,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Central African Republic,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Chad,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Chile,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
China,Proportion of population with primary reliance on clean fuels and technologies (%),2016,61
Colombia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,91
Comoros,Proportion of population with primary reliance on clean fuels and technologies (%),2016,7
Congo,Proportion of population with primary reliance on clean fuels and technologies (%),2016,28
Cook Islands,Proportion of population with primary reliance on clean fuels and technologies (%),2016,78
Costa Rica,Proportion of population with primary reliance on clean fuels and technologies (%),2016,94
Côte d’Ivoire,Proportion of population with primary reliance on clean fuels and technologies (%),2016,25
Croatia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,87
Cyprus,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Czechia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Democratic People's Republic of Korea,Proportion of population with primary reliance on clean fuels and technologies (%),2016,9
Democratic Republic of the Congo,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Denmark,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Djibouti,Proportion of population with primary reliance on clean fuels and technologies (%),2016,6
Dominica,Proportion of population with primary reliance on clean fuels and technologies (%),2016,82
Dominican Republic,Proportion of population with primary reliance on clean fuels and technologies (%),2016,88
Ecuador,Proportion of population with primary reliance on clean fuels and technologies (%),2016,94
Egypt,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
El Salvador,Proportion of population with primary reliance on clean fuels and technologies (%),2016,88
Equatorial Guinea,Proportion of population with primary reliance on clean fuels and technologies (%),2016,24
Eritrea,Proportion of population with primary reliance on clean fuels and technologies (%),2016,9
Estonia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Eswatini,Proportion of population with primary reliance on clean fuels and technologies (%),2016,50
Ethiopia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Fiji,Proportion of population with primary reliance on clean fuels and technologies (%),2016,29
Finland,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
France,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Gabon,Proportion of population with primary reliance on clean fuels and technologies (%),2016,86
Gambia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Georgia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,77
Germany,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Ghana,Proportion of population with primary reliance on clean fuels and technologies (%),2016,24
Greece,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Grenada,Proportion of population with primary reliance on clean fuels and technologies (%),2016,91
Guatemala,Proportion of population with primary reliance on clean fuels and technologies (%),2016,45
Guinea,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Guinea-Bissau,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Guyana,Proportion of population with primary reliance on clean fuels and technologies (%),2016,73
Haiti,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Honduras,Proportion of population with primary reliance on clean fuels and technologies (%),2016,53
Hungary,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Iceland,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
India,Proportion of population with primary reliance on clean fuels and technologies (%),2016,45
Indonesia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,72
Iran (Islamic Republic of),Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Iraq,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Ireland,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Israel,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Italy,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Jamaica,Proportion of population with primary reliance on clean fuels and technologies (%),2016,85
Japan,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Jordan,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Kazakhstan,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Kenya,Proportion of population with primary reliance on clean fuels and technologies (%),2016,9
Kiribati,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Kuwait,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Kyrgyzstan,Proportion of population with primary reliance on clean fuels and technologies (%),2016,76
Lao People's Democratic Republic,Proportion of population with primary reliance on clean fuels and technologies (%),2016,6
Latvia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Lesotho,Proportion of population with primary reliance on clean fuels and technologies (%),2016,37
Liberia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Lithuania,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Luxembourg,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Madagascar,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Malawi,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Malaysia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Maldives,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Mali,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Malta,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Marshall Islands,Proportion of population with primary reliance on clean fuels and technologies (%),2016,64
Mauritania,Proportion of population with primary reliance on clean fuels and technologies (%),2016,44
Mauritius,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Mexico,Proportion of population with primary reliance on clean fuels and technologies (%),2016,85
Micronesia (Federated States of),Proportion of population with primary reliance on clean fuels and technologies (%),2016,9
Monaco,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Mongolia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,46
Montenegro,Proportion of population with primary reliance on clean fuels and technologies (%),2016,57
Morocco,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Mozambique,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Myanmar,Proportion of population with primary reliance on clean fuels and technologies (%),2016,22
Namibia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,45
Nauru,Proportion of population with primary reliance on clean fuels and technologies (%),2016,90
Nepal,Proportion of population with primary reliance on clean fuels and technologies (%),2016,28
Netherlands,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
New Zealand,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Nicaragua,Proportion of population with primary reliance on clean fuels and technologies (%),2016,47
Niger,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Nigeria,Proportion of population with primary reliance on clean fuels and technologies (%),2016,7
Niue,Proportion of population with primary reliance on clean fuels and technologies (%),2016,86
Norway,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Oman,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Pakistan,Proportion of population with primary reliance on clean fuels and technologies (%),2016,42
Palau,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Panama,Proportion of population with primary reliance on clean fuels and technologies (%),2016,88
Papua New Guinea,Proportion of population with primary reliance on clean fuels and technologies (%),2016,8
Paraguay,Proportion of population with primary reliance on clean fuels and technologies (%),2016,66
Peru,Proportion of population with primary reliance on clean fuels and technologies (%),2016,76
Philippines,Proportion of population with primary reliance on clean fuels and technologies (%),2016,44
Poland,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Portugal,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Qatar,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Republic of Korea,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Republic of Moldova,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
The former Yugoslav Republic of Macedonia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,65
Romania,Proportion of population with primary reliance on clean fuels and technologies (%),2016,79
Russian Federation,Proportion of population with primary reliance on clean fuels and technologies (%),2016,93
Rwanda,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Saint Kitts and Nevis,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Saint Lucia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Saint Vincent and the Grenadines,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Samoa,Proportion of population with primary reliance on clean fuels and technologies (%),2016,32
San Marino,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Sao Tome and Principe,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Saudi Arabia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Senegal,Proportion of population with primary reliance on clean fuels and technologies (%),2016,26
Serbia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,67
Seychelles,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Sierra Leone,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Singapore,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Slovakia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Slovenia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Solomon Islands,Proportion of population with primary reliance on clean fuels and technologies (%),2016,9
Somalia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
South Africa,Proportion of population with primary reliance on clean fuels and technologies (%),2016,84
South Sudan,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Spain,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Sri Lanka,Proportion of population with primary reliance on clean fuels and technologies (%),2016,27
Sudan,Proportion of population with primary reliance on clean fuels and technologies (%),2016,46
Suriname,Proportion of population with primary reliance on clean fuels and technologies (%),2016,92
Sweden,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Switzerland,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Syrian Arab Republic,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Tajikistan,Proportion of population with primary reliance on clean fuels and technologies (%),2016,78
Thailand,Proportion of population with primary reliance on clean fuels and technologies (%),2016,78
Timor-Leste,Proportion of population with primary reliance on clean fuels and technologies (%),2016,10
Togo,Proportion of population with primary reliance on clean fuels and technologies (%),2016,7
Tonga,Proportion of population with primary reliance on clean fuels and technologies (%),2016,51
Trinidad and Tobago,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Tunisia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Turkey,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Turkmenistan,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Tuvalu,Proportion of population with primary reliance on clean fuels and technologies (%),2016,43
Uganda,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
Ukraine,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
United Arab Emirates,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
United Kingdom of Great Britain and Northern Ireland,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
United Republic of Tanzania,Proportion of population with primary reliance on clean fuels and technologies (%),2016,5
United States of America,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Uruguay,Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Uzbekistan,Proportion of population with primary reliance on clean fuels and technologies (%),2016,85
Vanuatu,Proportion of population with primary reliance on clean fuels and technologies (%),2016,9
Venezuela (Bolivarian Republic of),Proportion of population with primary reliance on clean fuels and technologies (%),2016,95
Viet Nam,Proportion of population with primary reliance on clean fuels and technologies (%),2016,61
Yemen,Proportion of population with primary reliance on clean fuels and technologies (%),2016,61
Zambia,Proportion of population with primary reliance on clean fuels and technologies (%),2016,14
Zimbabwe,Proportion of population with primary reliance on clean fuels and technologies (%),2016,29
