Location,Period,Indicator,First Tooltip
Albania,2016,Adolescent birth rate (per 1000 women aged 15-19 years),17.3
Andorra,2016,Adolescent birth rate (per 1000 women aged 15-19 years),2.6
Antigua and Barbuda,2016,Adolescent birth rate (per 1000 women aged 15-19 years),31.1
Armenia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),24.5
Australia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),10.3
Austria,2016,Adolescent birth rate (per 1000 women aged 15-19 years),7.2
Azerbaijan,2016,Adolescent birth rate (per 1000 women aged 15-19 years),52.8
Bahrain,2016,Adolescent birth rate (per 1000 women aged 15-19 years),13.9
Bangladesh,2016,Adolescent birth rate (per 1000 women aged 15-19 years),78.0
Belarus,2016,Adolescent birth rate (per 1000 women aged 15-19 years),16.0
Belgium,2016,Adolescent birth rate (per 1000 women aged 15-19 years),6.2
Belize,2016,Adolescent birth rate (per 1000 women aged 15-19 years),69.2
Benin,2016,Adolescent birth rate (per 1000 women aged 15-19 years),108.0
Bosnia and Herzegovina,2016,Adolescent birth rate (per 1000 women aged 15-19 years),11.0
Brazil,2016,Adolescent birth rate (per 1000 women aged 15-19 years),58.6
Brunei Darussalam,2016,Adolescent birth rate (per 1000 women aged 15-19 years),10.2
Bulgaria,2016,Adolescent birth rate (per 1000 women aged 15-19 years),38.2
Burkina Faso,2016,Adolescent birth rate (per 1000 women aged 15-19 years),132.3
Canada,2016,Adolescent birth rate (per 1000 women aged 15-19 years),8.4
Chile,2016,Adolescent birth rate (per 1000 women aged 15-19 years),33.4
Colombia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),62.0
Costa Rica,2016,Adolescent birth rate (per 1000 women aged 15-19 years),53.2
Croatia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),9.6
Cuba,2016,Adolescent birth rate (per 1000 women aged 15-19 years),48.7
Cyprus,2016,Adolescent birth rate (per 1000 women aged 15-19 years),4.0
Czechia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),11.8
Denmark,2016,Adolescent birth rate (per 1000 women aged 15-19 years),2.5
Estonia,2016,Adolescent birth rate (per 1000 women aged 15-19 years),10.5
