Location,Period,Indicator,Dim1,First Tooltip
Afghanistan,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.21
Albania,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.17
Algeria,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.95
Andorra,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.02
Angola,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.94
Antigua and Barbuda,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.38
Argentina,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.65
Armenia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.55
Australia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.51
Austria,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.96
Azerbaijan,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.41
Bahamas,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.78
Bahrain,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.09
Bangladesh,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.019
Barbados,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.69
Belarus,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.45
Belgium,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.08
Belize,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.22
Benin,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.81
Bhutan,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.43
Bolivia (Plurinational State of),2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.43
Bosnia and Herzegovina,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.15
Botswana,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.59
Brazil,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.42
Brunei Darussalam,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.48
Bulgaria,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.65
Burkina Faso,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.03
Burundi,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.19
Cabo Verde,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.6
Cambodia,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.64
Cameroon,2018,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.65
