Location,Period,Indicator,Dim1,First Tooltip
Afghanistan,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.21
Albania,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.74
Algeria,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.93
Andorra,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.01
Angola,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.96
Antigua and Barbuda,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.89
Argentina,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.55
Armenia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.84
Australia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.83
Austria,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.07
Azerbaijan,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.58
Bahamas,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.55
Bahrain,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.3
Bangladesh,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.021
Barbados,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.33
Belarus,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.0
Belgium,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.82
Belize,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.74
Benin,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.97
Bhutan,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.42
Bolivia (Plurinational State of),2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.64
Bosnia and Herzegovina,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.92
Botswana,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.86
Brazil,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.86
Brunei Darussalam,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.46
Bulgaria,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,12.34
Burkina Faso,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,11.83
Burundi,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.03
Cabo Verde,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.95
Cambodia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.37
Cameroon,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,6.17
Canada,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,8.88
Central African Republic,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.43
Chad,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,1.45
Chile,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.26
China,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.15
Colombia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.78
Comoros,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,0.88
Congo,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,7.9
Costa Rica,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,4.76
Côte d’Ivoire,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,2.61
Croatia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,9.07
Cuba,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,5.67
Cyprus,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,10.76
Czechia,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,14.25
Democratic People's Republic of Korea,2015,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Both sexes,3.82
