Location,Period,Indicator,First Tooltip
Afghanistan,2016,"Medical doctors (per 10,000)",2.78
Albania,2016,"Medical doctors (per 10,000)",12.16
Algeria,2016,"Medical doctors (per 10,000)",18.33
Argentina,2016,"Medical doctors (per 10,000)",40.01
Australia,2016,"Medical doctors (per 10,000)",35.67
Austria,2016,"Medical doctors (per 10,000)",51.23
Bangladesh,2016,"Medical doctors (per 10,000)",4.97
Belgium,2016,"Medical doctors (per 10,000)",30.68
Benin,2016,"Medical doctors (per 10,000)",0.48
Bhutan,2016,"Medical doctors (per 10,000)",4.06
Bolivia (Plurinational State of),2016,"Medical doctors (per 10,000)",15.9
Botswana,2016,"Medical doctors (per 10,000)",5.27
Burkina Faso,2016,"Medical doctors (per 10,000)",0.65
Canada,2016,"Medical doctors (per 10,000)",23.11
Chad,2016,"Medical doctors (per 10,000)",0.47
Chile,2016,"Medical doctors (per 10,000)",22.94
China,2016,"Medical doctors (per 10,000)",18.65
Colombia,2016,"Medical doctors (per 10,000)",20.34
Comoros,2016,"Medical doctors (per 10,000)",2.72
Costa Rica,2016,"Medical doctors (per 10,000)",13.76
Croatia,2016,"Medical doctors (per 10,000)",30.0
Cuba,2016,"Medical doctors (per 10,000)",79.54
Cyprus,2016,"Medical doctors (per 10,000)",19.51
Czechia,2016,"Medical doctors (per 10,000)",40.19
Democratic People's Republic of Korea,2016,"Medical doctors (per 10,000)",37.01
Democratic Republic of the Congo,2016,"Medical doctors (per 10,000)",0.74
Denmark,2016,"Medical doctors (per 10,000)",40.1
Ecuador,2016,"Medical doctors (per 10,000)",20.37
Egypt,2016,"Medical doctors (per 10,000)",8.21
El Salvador,2016,"Medical doctors (per 10,000)",15.66
Eritrea,2016,"Medical doctors (per 10,000)",0.63
Estonia,2016,"Medical doctors (per 10,000)",34.55
Eswatini,2016,"Medical doctors (per 10,000)",3.29
Ethiopia,2016,"Medical doctors (per 10,000)",0.46
Finland,2016,"Medical doctors (per 10,000)",38.12
France,2016,"Medical doctors (per 10,000)",32.38
Gabon,2016,"Medical doctors (per 10,000)",3.56
Georgia,2016,"Medical doctors (per 10,000)",59.97
