Location,Period,Indicator,Dim1,First Tooltip
Afghanistan,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.03 [0.01-0.11]
Albania,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.04 [0.01-0.08]
Algeria,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.05 [0.02-0.07]
Angola,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.95 [0.73-1.19]
Argentina,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.14 [0.11-0.2]
Armenia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.06 [0.05-0.09]
Australia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.04 [0.03-0.06]
Austria,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Azerbaijan,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.07 [0.04-0.1]
Bahamas,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bahrain,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bangladesh,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Barbados,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.22
Belarus,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.24 [0.18-0.34]
Belgium,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Belize,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Benin,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.39 [0.19-0.79]
Bhutan,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bolivia (Plurinational State of),2015,New HIV infections (per 1000 uninfected population),Both sexes,0.1 [0.08-0.13]
Bosnia and Herzegovina,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Botswana,2015,New HIV infections (per 1000 uninfected population),Both sexes,6.27 [5.61-6.95]
Brazil,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.25 [0.12-0.37]
Brunei Darussalam,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bulgaria,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.04 [0.03-0.04]
Burkina Faso,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.19 [0.13-0.28]
Burundi,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.29 [0.2-0.4]
Cabo Verde,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.21 [0.15-0.3]
Cambodia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.08 [0.07-0.09]
Cameroon,2015,New HIV infections (per 1000 uninfected population),Both sexes,1.04 [0.92-1.19]
Canada,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Central African Republic,2015,New HIV infections (per 1000 uninfected population),Both sexes,1.5 [1-2.15]
Chad,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.45 [0.31-0.59]
Chile,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.27 [0.22-0.32]
China,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Colombia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.26 [0.18-0.36]
Comoros,2015,New HIV infections (per 1000 uninfected population),Both sexes,<0.01 [<0.01–0.02]
