,Location,Period,Indicator,Dim1,First Tooltip
0,Afghanistan,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.04 [0.01-0.15]
15,Albania,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.03
30,Algeria,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.05 [0.01-0.1]
45,Angola,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.84 [0.59-1.12]
60,Argentina,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.13 [0.1-0.19]
75,Armenia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.05 [0.03-0.09]
90,Australia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.03 [0.02-0.06]
105,Austria,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
120,Azerbaijan,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.06 [0.03-0.09]
135,Bahamas,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
150,Bahrain,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
165,Bangladesh,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
180,Barbados,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.18
195,Belarus,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.2 [0.13-0.33]
210,Belgium,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
225,Belize,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
240,Benin,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.31 [0.15-0.62]
255,Bhutan,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
270,Bolivia (Plurinational State of),2019,New HIV infections (per 1000 uninfected population),Both sexes,0.08 [0.06-0.11]
285,Bosnia and Herzegovina,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
300,Botswana,2019,New HIV infections (per 1000 uninfected population),Both sexes,4.78 [4.01-5.68]
315,Brazil,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.23 [0.11-0.34]
330,Brunei Darussalam,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
345,Bulgaria,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.04 [0.03-0.05]
360,Burkina Faso,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.14 [0.09-0.21]
375,Burundi,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.17 [0.1-0.26]
390,Cabo Verde,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.19 [0.13-0.31]
405,Cambodia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.05 [0.04-0.05]
420,Cameroon,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.69 [0.56-0.85]
435,Canada,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
450,Central African Republic,2019,New HIV infections (per 1000 uninfected population),Both sexes,1.1 [0.64-1.86]
465,Chad,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.34 [0.21-0.5]
480,Chile,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.27 [0.21-0.33]
495,China,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
510,Colombia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.25 [0.17-0.39]
525,Comoros,2019,New HIV infections (per 1000 uninfected population),Both sexes,<0.01 [<0.01–0.02]
540,Congo,2019,New HIV infections (per 1000 uninfected population),Both sexes,1.55 [0.86-3.11]
555,Costa Rica,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.19 [0.14-0.25]
570,Côte d’Ivoire,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.51 [0.35-0.73]
585,Croatia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.02
600,Cuba,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.14 [0.08-0.24]
615,Cyprus,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
630,Czechia,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
645,Democratic People's Republic of Korea,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
660,Democratic Republic of the Congo,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.22 [0.14-0.33]
675,Denmark,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
690,Djibouti,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.14 [0.07-0.29]
705,Dominican Republic,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.27 [0.16-0.36]
720,Ecuador,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.14 [0.08-0.29]
735,Egypt,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.05 [0.04-0.07]
750,El Salvador,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.14 [0.11-0.21]
765,Equatorial Guinea,2019,New HIV infections (per 1000 uninfected population),Both sexes,4.06 [2.21-7.28]
780,Eritrea,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.11 [0.05-0.21]
795,Estonia,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
810,Eswatini,2019,New HIV infections (per 1000 uninfected population),Both sexes,4.9 [3.81-6.2]
825,Ethiopia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.16 [0.08-0.27]
840,Fiji,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.14 [0.07-0.34]
855,Finland,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
870,France,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
885,Gabon,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.74 [0.35-1.32]
900,Gambia,2019,New HIV infections (per 1000 uninfected population),Both sexes,1.06 [0.7-1.62]
915,Georgia,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
930,Germany,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
945,Ghana,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.7 [0.35-1.29]
960,Greece,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
975,Guatemala,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.07 [0.05-0.11]
990,Guinea,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.39 [0.28-0.54]
1005,Guinea-Bissau,2019,New HIV infections (per 1000 uninfected population),Both sexes,1.15 [0.92-1.41]
1020,Guyana,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.42 [0.34-0.54]
1035,Haiti,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.52 [0.38-0.69]
1050,Honduras,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.11 [0.08-0.17]
1065,Hungary,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1080,Iceland,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1095,India,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1110,Indonesia,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1125,Iran (Islamic Republic of),2019,New HIV infections (per 1000 uninfected population),Both sexes,0.05 [0.01-0.15]
1140,Ireland,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1155,Israel,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1170,Italy,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.04 [0.01-0.13]
1185,Jamaica,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.58 [0.39-0.98]
1200,Japan,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1215,Jordan,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1230,Kazakhstan,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.2 [0.17-0.24]
1245,Kenya,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.92 [0.6-1.44]
1260,Kuwait,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1275,Kyrgyzstan,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.14 [0.14-0.14]
1290,Lao People's Democratic Republic,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.11 [0.1-0.12]
1305,Latvia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.19 [0.11-0.26]
1320,Lebanon,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.03
1335,Lesotho,2019,New HIV infections (per 1000 uninfected population),Both sexes,6.43 [5.44-7.66]
1350,Liberia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.46 [0.31-0.71]
1365,Libya,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.07 [0.05-0.09]
1380,Lithuania,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.09 [0.08-0.11]
1395,Luxembourg,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1410,Madagascar,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.23 [0.15-0.32]
1425,Malawi,2019,New HIV infections (per 1000 uninfected population),Both sexes,1.94 [1.62-2.25]
1440,Malaysia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.2 [0.18-0.23]
1455,Maldives,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1470,Mali,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1485,Malta,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1500,Mauritania,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1515,Mauritius,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.57 [0.38-0.87]
1530,Mexico,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1545,Mongolia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.01 [0.01-0.01]
1560,Montenegro,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.05
1575,Morocco,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.02 [0.02-0.03]
1590,Mozambique,2019,New HIV infections (per 1000 uninfected population),Both sexes,4.68 [2.9-7.42]
1605,Myanmar,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.19 [0.16-0.21]
1620,Namibia,2019,New HIV infections (per 1000 uninfected population),Both sexes,3.1 [2.54-3.77]
1635,Nepal,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.03 [0.03-0.03]
1650,Netherlands,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.02
1665,New Zealand,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.03
1680,Nicaragua,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.06 [0.04-0.1]
1695,Niger,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.06 [0.04-0.08]
1710,Nigeria,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.52 [0.31-0.88]
1725,Norway,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
1740,Oman,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.04 [0.03-0.06]
1755,Pakistan,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.12 [0.11-0.13]
