,Location,Period,Indicator,Dim1,First Tooltip
9,Afghanistan,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,51.32 [44.36-58.38]
183,Albania,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,8.38 [8.07-8.72]
309,Algeria,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,21.28 [20.81-21.75]
507,Andorra,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,3.2 [1.04-10.24]
612,Angola,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,55.56 [31.74-90.3]
732,Antigua and Barbuda,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,6.49 [5.08-8.26]
942,Argentina,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,9.7 [9.51-9.89]
1095,Armenia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,12.22 [9.58-15.02]
1227,Australia,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,3.19 [3.12-3.26]
1437,Austria,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,2.99 [2.85-3.15]
1647,Azerbaijan,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,21.83 [15.9-29.67]
1761,Bahamas,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,11.73 [10.08-13.61]
1917,Bahrain,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,6.35 [5.57-7.27]
2109,Bangladesh,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,29.29 [27.82-30.85]
2319,Barbados,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,12.73 [10.1-15.99]
2529,Belarus,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,2.88 [2.78-2.99]
2649,Belgium,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,3.05 [2.89-3.23]
2859,Belize,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,12.5 [11.57-13.46]
3018,Benin,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,63.04 [57.25-69.26]
3228,Bhutan,2016,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),Both sexes,26.38 [19.05-35.19]
