,Location,Period,Indicator,Dim1,First Tooltip
3,Afghanistan,2015,Life expectancy at birth (years),Both sexes,61.65
15,Albania,2015,Life expectancy at birth (years),Both sexes,77.84
27,Algeria,2015,Life expectancy at birth (years),Both sexes,76.54
39,Angola,2015,Life expectancy at birth (years),Both sexes,61.72
51,Antigua and Barbuda,2015,Life expectancy at birth (years),Both sexes,76.14
63,Argentina,2015,Life expectancy at birth (years),Both sexes,76.17
75,Armenia,2015,Life expectancy at birth (years),Both sexes,74.51
87,Australia,2015,Life expectancy at birth (years),Both sexes,82.28
99,Austria,2015,Life expectancy at birth (years),Both sexes,80.98
111,Azerbaijan,2015,Life expectancy at birth (years),Both sexes,70.67
123,Bahamas,2015,Life expectancy at birth (years),Both sexes,72.92
135,Bahrain,2015,Life expectancy at birth (years),Both sexes,76.46
147,Bangladesh,2015,Life expectancy at birth (years),Both sexes,73.58
159,Barbados,2015,Life expectancy at birth (years),Both sexes,76.22
171,Belarus,2015,Life expectancy at birth (years),Both sexes,73.82
183,Belgium,2015,Life expectancy at birth (years),Both sexes,80.71
195,Belize,2015,Life expectancy at birth (years),Both sexes,74.05
207,Benin,2015,Life expectancy at birth (years),Both sexes,61.96
219,Bhutan,2015,Life expectancy at birth (years),Both sexes,72.15
231,Bolivia (Plurinational State of),2015,Life expectancy at birth (years),Both sexes,71.52
243,Bosnia and Herzegovina,2015,Life expectancy at birth (years),Both sexes,76.32
255,Botswana,2015,Life expectancy at birth (years),Both sexes,60.93
267,Brazil,2015,Life expectancy at birth (years),Both sexes,75.13
279,Brunei Darussalam,2015,Life expectancy at birth (years),Both sexes,74.4
291,Bulgaria,2015,Life expectancy at birth (years),Both sexes,74.55
303,Burkina Faso,2015,Life expectancy at birth (years),Both sexes,60.92
315,Burundi,2015,Life expectancy at birth (years),Both sexes,62.05
327,Cabo Verde,2015,Life expectancy at birth (years),Both sexes,74.88
339,Cambodia,2015,Life expectancy at birth (years),Both sexes,69.17
351,Cameroon,2015,Life expectancy at birth (years),Both sexes,59.11
363,Canada,2015,Life expectancy at birth (years),Both sexes,81.76
376,Central African Republic,2015,Life expectancy at birth (years),Both sexes,50.53
388,Chad,2015,Life expectancy at birth (years),Both sexes,57.91
400,Chile,2015,Life expectancy at birth (years),Both sexes,79.82
412,China,2015,Life expectancy at birth (years),Both sexes,76.64
424,Colombia,2015,Life expectancy at birth (years),Both sexes,78.35
436,Comoros,2015,Life expectancy at birth (years),Both sexes,66.45
448,Congo,2015,Life expectancy at birth (years),Both sexes,63.11
460,Costa Rica,2015,Life expectancy at birth (years),Both sexes,80.78
472,Côte d’Ivoire,2015,Life expectancy at birth (years),Both sexes,60.2
484,Croatia,2015,Life expectancy at birth (years),Both sexes,77.58
496,Cuba,2015,Life expectancy at birth (years),Both sexes,77.91
508,Cyprus,2015,Life expectancy at birth (years),Both sexes,82.01
520,Czechia,2015,Life expectancy at birth (years),Both sexes,78.46
532,Democratic People's Republic of Korea,2015,Life expectancy at birth (years),Both sexes,71.76
544,Democratic Republic of the Congo,2015,Life expectancy at birth (years),Both sexes,60.44
556,Denmark,2015,Life expectancy at birth (years),Both sexes,80.59
568,Djibouti,2015,Life expectancy at birth (years),Both sexes,64.64
580,Dominican Republic,2015,Life expectancy at birth (years),Both sexes,71.75
592,Ecuador,2015,Life expectancy at birth (years),Both sexes,77.18
604,Egypt,2015,Life expectancy at birth (years),Both sexes,70.49
616,El Salvador,2015,Life expectancy at birth (years),Both sexes,73.25
628,Equatorial Guinea,2015,Life expectancy at birth (years),Both sexes,61.13
640,Eritrea,2015,Life expectancy at birth (years),Both sexes,62.29
652,Estonia,2015,Life expectancy at birth (years),Both sexes,77.6
664,Eswatini,2015,Life expectancy at birth (years),Both sexes,54.05
676,Ethiopia,2015,Life expectancy at birth (years),Both sexes,66.82
688,Fiji,2015,Life expectancy at birth (years),Both sexes,67.83
700,Finland,2015,Life expectancy at birth (years),Both sexes,81.21
712,France,2015,Life expectancy at birth (years),Both sexes,81.91
724,Gabon,2015,Life expectancy at birth (years),Both sexes,64.93
736,Gambia,2015,Life expectancy at birth (years),Both sexes,64.14
748,Georgia,2015,Life expectancy at birth (years),Both sexes,72.58
760,Germany,2015,Life expectancy at birth (years),Both sexes,80.42
772,Ghana,2015,Life expectancy at birth (years),Both sexes,64.55
784,Greece,2015,Life expectancy at birth (years),Both sexes,80.38
796,Grenada,2015,Life expectancy at birth (years),Both sexes,72.7
808,Guatemala,2015,Life expectancy at birth (years),Both sexes,70.95
820,Guinea,2015,Life expectancy at birth (years),Both sexes,58.81
832,Guinea-Bissau,2015,Life expectancy at birth (years),Both sexes,58.23
844,Guyana,2015,Life expectancy at birth (years),Both sexes,65.59
856,Haiti,2015,Life expectancy at birth (years),Both sexes,62.61
868,Honduras,2015,Life expectancy at birth (years),Both sexes,69.82
880,Hungary,2015,Life expectancy at birth (years),Both sexes,75.57
892,Iceland,2015,Life expectancy at birth (years),Both sexes,82.14
904,India,2015,Life expectancy at birth (years),Both sexes,69.31
916,Indonesia,2015,Life expectancy at birth (years),Both sexes,70.61
928,Iran (Islamic Republic of),2015,Life expectancy at birth (years),Both sexes,76.66
940,Iraq,2015,Life expectancy at birth (years),Both sexes,70.29
952,Ireland,2015,Life expectancy at birth (years),Both sexes,81.14
964,Israel,2015,Life expectancy at birth (years),Both sexes,81.93
976,Italy,2015,Life expectancy at birth (years),Both sexes,82.21
988,Jamaica,2015,Life expectancy at birth (years),Both sexes,75.85
1000,Japan,2015,Life expectancy at birth (years),Both sexes,83.62
1012,Jordan,2015,Life expectancy at birth (years),Both sexes,77.82
1024,Kazakhstan,2015,Life expectancy at birth (years),Both sexes,71.91
1036,Kenya,2015,Life expectancy at birth (years),Both sexes,64.17
1048,Kiribati,2015,Life expectancy at birth (years),Both sexes,58.2
1060,Kuwait,2015,Life expectancy at birth (years),Both sexes,81.13
1072,Kyrgyzstan,2015,Life expectancy at birth (years),Both sexes,71.59
1084,Lao People's Democratic Republic,2015,Life expectancy at birth (years),Both sexes,67.08
1096,Latvia,2015,Life expectancy at birth (years),Both sexes,74.8
1108,Lebanon,2015,Life expectancy at birth (years),Both sexes,75.98
1120,Lesotho,2015,Life expectancy at birth (years),Both sexes,47.67
1132,Liberia,2015,Life expectancy at birth (years),Both sexes,61.17
1144,Libya,2015,Life expectancy at birth (years),Both sexes,74.6
1156,Lithuania,2015,Life expectancy at birth (years),Both sexes,74.38
1168,Luxembourg,2015,Life expectancy at birth (years),Both sexes,82.31
1180,Madagascar,2015,Life expectancy at birth (years),Both sexes,64.19
