Location,Indicator,Period,First Tooltip
Afghanistan,Malaria incidence (per 1 000 population at risk),2015,14.91
Algeria,Malaria incidence (per 1 000 population at risk),2015,0.0
Angola,Malaria incidence (per 1 000 population at risk),2015,200.0
Argentina,Malaria incidence (per 1 000 population at risk),2015,0.0
Armenia,Malaria incidence (per 1 000 population at risk),2015,0.0
Azerbaijan,Malaria incidence (per 1 000 population at risk),2015,0.0
Bangladesh,Malaria incidence (per 1 000 population at risk),2015,2.72
Belize,Malaria incidence (per 1 000 population at risk),2015,0.036000000000000004
Benin,Malaria incidence (per 1 000 population at risk),2015,411.8
Bhutan,Malaria incidence (per 1 000 population at risk),2015,0.063
Bolivia (Plurinational State of),Malaria incidence (per 1 000 population at risk),2015,1.89
Botswana,Malaria incidence (per 1 000 population at risk),2015,0.37
Brazil,Malaria incidence (per 1 000 population at risk),2015,3.88
Burkina Faso,Malaria incidence (per 1 000 population at risk),2015,400.1
Burundi,Malaria incidence (per 1 000 population at risk),2015,165.5
Cabo Verde,Malaria incidence (per 1 000 population at risk),2015,0.051
Cambodia,Malaria incidence (per 1 000 population at risk),2015,19.94
Cameroon,Malaria incidence (per 1 000 population at risk),2015,254.5
Central African Republic,Malaria incidence (per 1 000 population at risk),2015,379.9
Chad,Malaria incidence (per 1 000 population at risk),2015,167.3
China,Malaria incidence (per 1 000 population at risk),2015,0.0001
Colombia,Malaria incidence (per 1 000 population at risk),2015,6.94
Comoros,Malaria incidence (per 1 000 population at risk),2015,1.67
Congo,Malaria incidence (per 1 000 population at risk),2015,226.7
Costa Rica,Malaria incidence (per 1 000 population at risk),2015,0.0
Côte d’Ivoire,Malaria incidence (per 1 000 population at risk),2015,320.0
Democratic People's Republic of Korea,Malaria incidence (per 1 000 population at risk),2015,0.75
Democratic Republic of the Congo,Malaria incidence (per 1 000 population at risk),2015,308.8
Djibouti,Malaria incidence (per 1 000 population at risk),2015,13.82
Dominican Republic,Malaria incidence (per 1 000 population at risk),2015,0.14
Ecuador,Malaria incidence (per 1 000 population at risk),2015,1.31
Egypt,Malaria incidence (per 1 000 population at risk),2015,0.0
El Salvador,Malaria incidence (per 1 000 population at risk),2015,0.002
Equatorial Guinea,Malaria incidence (per 1 000 population at risk),2015,339.5
Eritrea,Malaria incidence (per 1 000 population at risk),2015,19.2
Eswatini,Malaria incidence (per 1 000 population at risk),2015,0.51
Ethiopia,Malaria incidence (per 1 000 population at risk),2015,52.77
Gabon,Malaria incidence (per 1 000 population at risk),2015,284.4
Gambia,Malaria incidence (per 1 000 population at risk),2015,195.0
Georgia,Malaria incidence (per 1 000 population at risk),2015,0.0
Ghana,Malaria incidence (per 1 000 population at risk),2015,277.2
Guatemala,Malaria incidence (per 1 000 population at risk),2015,0.65
Guinea,Malaria incidence (per 1 000 population at risk),2015,356.6
Guinea-Bissau,Malaria incidence (per 1 000 population at risk),2015,79.77
Guyana,Malaria incidence (per 1 000 population at risk),2015,23.49
Haiti,Malaria incidence (per 1 000 population at risk),2015,3.44
Honduras,Malaria incidence (per 1 000 population at risk),2015,0.59
India,Malaria incidence (per 1 000 population at risk),2015,9.67
Indonesia,Malaria incidence (per 1 000 population at risk),2015,5.38
Iran (Islamic Republic of),Malaria incidence (per 1 000 population at risk),2015,0.21
Iraq,Malaria incidence (per 1 000 population at risk),2015,0.0
Kazakhstan,Malaria incidence (per 1 000 population at risk),2015,0.0
Kenya,Malaria incidence (per 1 000 population at risk),2015,72.17
Kyrgyzstan,Malaria incidence (per 1 000 population at risk),2015,0.0
Lao People's Democratic Republic,Malaria incidence (per 1 000 population at risk),2015,22.3
Liberia,Malaria incidence (per 1 000 population at risk),2015,347.0
Madagascar,Malaria incidence (per 1 000 population at risk),2015,97.32
Malawi,Malaria incidence (per 1 000 population at risk),2015,217.0
Malaysia,Malaria incidence (per 1 000 population at risk),2015,0.2
Mali,Malaria incidence (per 1 000 population at risk),2015,391.8
Mauritania,Malaria incidence (per 1 000 population at risk),2015,61.61
Mexico,Malaria incidence (per 1 000 population at risk),2015,0.2
Morocco,Malaria incidence (per 1 000 population at risk),2015,0.0
Mozambique,Malaria incidence (per 1 000 population at risk),2015,355.9
Myanmar,Malaria incidence (per 1 000 population at risk),2015,8.69
Namibia,Malaria incidence (per 1 000 population at risk),2015,10.88
Nepal,Malaria incidence (per 1 000 population at risk),2015,0.57
Nicaragua,Malaria incidence (per 1 000 population at risk),2015,1.06
Niger,Malaria incidence (per 1 000 population at risk),2015,369.8
Nigeria,Malaria incidence (per 1 000 population at risk),2015,296.1
Oman,Malaria incidence (per 1 000 population at risk),2015,0.0
Pakistan,Malaria incidence (per 1 000 population at risk),2015,5.06
Panama,Malaria incidence (per 1 000 population at risk),2015,0.15
Papua New Guinea,Malaria incidence (per 1 000 population at risk),2015,131.5
Paraguay,Malaria incidence (per 1 000 population at risk),2015,0.0
Peru,Malaria incidence (per 1 000 population at risk),2015,7.85
Philippines,Malaria incidence (per 1 000 population at risk),2015,0.47
Republic of Korea,Malaria incidence (per 1 000 population at risk),2015,0.18
Rwanda,Malaria incidence (per 1 000 population at risk),2015,342.0
Sao Tome and Principe,Malaria incidence (per 1 000 population at risk),2015,10.32
Saudi Arabia,Malaria incidence (per 1 000 population at risk),2015,0.033
Senegal,Malaria incidence (per 1 000 population at risk),2015,69.8
Sierra Leone,Malaria incidence (per 1 000 population at risk),2015,403.7
Solomon Islands,Malaria incidence (per 1 000 population at risk),2015,66.85
Somalia,Malaria incidence (per 1 000 population at risk),2015,37.27
South Africa,Malaria incidence (per 1 000 population at risk),2015,0.21
South Sudan,Malaria incidence (per 1 000 population at risk),2015,240.4
Sri Lanka,Malaria incidence (per 1 000 population at risk),2015,0.0
Sudan,Malaria incidence (per 1 000 population at risk),2015,35.88
Suriname,Malaria incidence (per 1 000 population at risk),2015,0.98
Syrian Arab Republic,Malaria incidence (per 1 000 population at risk),2015,0.0
Tajikistan,Malaria incidence (per 1 000 population at risk),2015,0.0
Thailand,Malaria incidence (per 1 000 population at risk),2015,1.34
Timor-Leste,Malaria incidence (per 1 000 population at risk),2015,0.12
Togo,Malaria incidence (per 1 000 population at risk),2015,364.3
Turkey,Malaria incidence (per 1 000 population at risk),2015,0.0
Turkmenistan,Malaria incidence (per 1 000 population at risk),2015,0.0
Uganda,Malaria incidence (per 1 000 population at risk),2015,236.1
United Arab Emirates,Malaria incidence (per 1 000 population at risk),2015,0.0
United Republic of Tanzania,Malaria incidence (per 1 000 population at risk),2015,121.7
Uzbekistan,Malaria incidence (per 1 000 population at risk),2015,0.0
Vanuatu,Malaria incidence (per 1 000 population at risk),2015,2.9
Venezuela (Bolivarian Republic of),Malaria incidence (per 1 000 population at risk),2015,10.57
Viet Nam,Malaria incidence (per 1 000 population at risk),2015,0.17
Yemen,Malaria incidence (per 1 000 population at risk),2015,24.9
Zambia,Malaria incidence (per 1 000 population at risk),2015,202.5
Zimbabwe,Malaria incidence (per 1 000 population at risk),2015,97.65
