,Location,Period,Indicator,First Tooltip
2,Afghanistan,2015,"Nursing and midwifery personnel (per 10,000)",1.3
38,Andorra,2015,"Nursing and midwifery personnel (per 10,000)",40.13
60,Antigua and Barbuda,2015,"Nursing and midwifery personnel (per 10,000)",45.09
74,Armenia,2015,"Nursing and midwifery personnel (per 10,000)",49.54
92,Australia,2015,"Nursing and midwifery personnel (per 10,000)",122.0
108,Austria,2015,"Nursing and midwifery personnel (per 10,000)",70.14
164,Bahrain,2015,"Nursing and midwifery personnel (per 10,000)",24.94
181,Bangladesh,2015,"Nursing and midwifery personnel (per 10,000)",2.75
199,Belarus,2015,"Nursing and midwifery personnel (per 10,000)",110.0
228,Belgium,2015,"Nursing and midwifery personnel (per 10,000)",118.1
243,Belize,2015,"Nursing and midwifery personnel (per 10,000)",1744.0
260,Bhutan,2015,"Nursing and midwifery personnel (per 10,000)",14.7
269,Bolivia (Plurinational State of),2015,"Nursing and midwifery personnel (per 10,000)",11.91
278,Bosnia and Herzegovina,2015,"Nursing and midwifery personnel (per 10,000)",61.8
318,Brazil,2015,"Nursing and midwifery personnel (per 10,000)",91.08
343,Brunei Darussalam,2015,"Nursing and midwifery personnel (per 10,000)",66.43
357,Bulgaria,2015,"Nursing and midwifery personnel (per 10,000)",48.16
385,Burkina Faso,2015,"Nursing and midwifery personnel (per 10,000)",6.7
395,Burundi,2015,"Nursing and midwifery personnel (per 10,000)",6.66
405,Cabo Verde,2015,"Nursing and midwifery personnel (per 10,000)",9.49
415,Cambodia,2015,"Nursing and midwifery personnel (per 10,000)",5.89
436,Canada,2015,"Nursing and midwifery personnel (per 10,000)",98.19
439,Central African Republic,2015,"Nursing and midwifery personnel (per 10,000)",2.06
445,Chad,2015,"Nursing and midwifery personnel (per 10,000)",2.53
458,Chile,2015,"Nursing and midwifery personnel (per 10,000)",109.8
474,China,2015,"Nursing and midwifery personnel (per 10,000)",22.91
498,Colombia,2015,"Nursing and midwifery personnel (per 10,000)",11.65
531,Congo,2015,"Nursing and midwifery personnel (per 10,000)",7.93
542,Cook Islands,2015,"Nursing and midwifery personnel (per 10,000)",68.18
551,Costa Rica,2015,"Nursing and midwifery personnel (per 10,000)",26.58
566,Côte d’Ivoire,2015,"Nursing and midwifery personnel (per 10,000)",4.69
574,Croatia,2015,"Nursing and midwifery personnel (per 10,000)",61.92
610,Cyprus,2015,"Nursing and midwifery personnel (per 10,000)",40.35
638,Czechia,2015,"Nursing and midwifery personnel (per 10,000)",83.71
670,Democratic Republic of the Congo,2015,"Nursing and midwifery personnel (per 10,000)",9.48
674,Denmark,2015,"Nursing and midwifery personnel (per 10,000)",102.4
707,Dominica,2015,"Nursing and midwifery personnel (per 10,000)",66.99
715,Dominican Republic,2015,"Nursing and midwifery personnel (per 10,000)",14.55
