Location,Period,Indicator,First Tooltip
Afghanistan,2016,"Nursing and midwifery personnel (per 10,000)",1.48
Albania,2016,"Nursing and midwifery personnel (per 10,000)",36.5
Algeria,2016,"Nursing and midwifery personnel (per 10,000)",22.43
Antigua and Barbuda,2016,"Nursing and midwifery personnel (per 10,000)",44.87
Argentina,2016,"Nursing and midwifery personnel (per 10,000)",25.82
Australia,2016,"Nursing and midwifery personnel (per 10,000)",124.1
Austria,2016,"Nursing and midwifery personnel (per 10,000)",70.18
Bangladesh,2016,"Nursing and midwifery personnel (per 10,000)",2.64
Belgium,2016,"Nursing and midwifery personnel (per 10,000)",119.8
Belize,2016,"Nursing and midwifery personnel (per 10,000)",1827.0
Benin,2016,"Nursing and midwifery personnel (per 10,000)",7.6
Bhutan,2016,"Nursing and midwifery personnel (per 10,000)",15.33
Bolivia (Plurinational State of),2016,"Nursing and midwifery personnel (per 10,000)",11.18
Bosnia and Herzegovina,2016,"Nursing and midwifery personnel (per 10,000)",54.73
Botswana,2016,"Nursing and midwifery personnel (per 10,000)",41.15
Brazil,2016,"Nursing and midwifery personnel (per 10,000)",93.51
Brunei Darussalam,2016,"Nursing and midwifery personnel (per 10,000)",64.72
Burkina Faso,2016,"Nursing and midwifery personnel (per 10,000)",6.59
Cabo Verde,2016,"Nursing and midwifery personnel (per 10,000)",11.52
Cambodia,2016,"Nursing and midwifery personnel (per 10,000)",7.2
Canada,2016,"Nursing and midwifery personnel (per 10,000)",98.8
Chile,2016,"Nursing and midwifery personnel (per 10,000)",112.4
China,2016,"Nursing and midwifery personnel (per 10,000)",24.67
Colombia,2016,"Nursing and midwifery personnel (per 10,000)",12.22
Comoros,2016,"Nursing and midwifery personnel (per 10,000)",6.29
Congo,2016,"Nursing and midwifery personnel (per 10,000)",7.46
Cook Islands,2016,"Nursing and midwifery personnel (per 10,000)",70.29
Costa Rica,2016,"Nursing and midwifery personnel (per 10,000)",30.05
Côte d’Ivoire,2016,"Nursing and midwifery personnel (per 10,000)",5.09
Croatia,2016,"Nursing and midwifery personnel (per 10,000)",81.22
Cuba,2016,"Nursing and midwifery personnel (per 10,000)",78.58
Cyprus,2016,"Nursing and midwifery personnel (per 10,000)",52.51
Czechia,2016,"Nursing and midwifery personnel (per 10,000)",84.01
Democratic Republic of the Congo,2016,"Nursing and midwifery personnel (per 10,000)",0.23
Denmark,2016,"Nursing and midwifery personnel (per 10,000)",103.2
Dominica,2016,"Nursing and midwifery personnel (per 10,000)",66.9
Dominican Republic,2016,"Nursing and midwifery personnel (per 10,000)",12.07
Ecuador,2016,"Nursing and midwifery personnel (per 10,000)",28.54
Egypt,2016,"Nursing and midwifery personnel (per 10,000)",19.25
El Salvador,2016,"Nursing and midwifery personnel (per 10,000)",18.04
Eritrea,2016,"Nursing and midwifery personnel (per 10,000)",14.39
Estonia,2016,"Nursing and midwifery personnel (per 10,000)",64.33
Eswatini,2016,"Nursing and midwifery personnel (per 10,000)",37.7
Ethiopia,2016,"Nursing and midwifery personnel (per 10,000)",1.17
Finland,2016,"Nursing and midwifery personnel (per 10,000)",147.4
France,2016,"Nursing and midwifery personnel (per 10,000)",108.9
Gabon,2016,"Nursing and midwifery personnel (per 10,000)",25.44
Georgia,2016,"Nursing and midwifery personnel (per 10,000)",40.0
Germany,2016,"Nursing and midwifery personnel (per 10,000)",131.4
Ghana,2016,"Nursing and midwifery personnel (per 10,000)",21.16
Greece,2016,"Nursing and midwifery personnel (per 10,000)",35.53
Guatemala,2016,"Nursing and midwifery personnel (per 10,000)",0.6
Guinea,2016,"Nursing and midwifery personnel (per 10,000)",1.24
Guinea-Bissau,2016,"Nursing and midwifery personnel (per 10,000)",5.94
Guyana,2016,"Nursing and midwifery personnel (per 10,000)",7.32
Honduras,2016,"Nursing and midwifery personnel (per 10,000)",7.42
Hungary,2016,"Nursing and midwifery personnel (per 10,000)",66.43
Iceland,2016,"Nursing and midwifery personnel (per 10,000)",151.6
India,2016,"Nursing and midwifery personnel (per 10,000)",14.95
Iraq,2016,"Nursing and midwifery personnel (per 10,000)",17.15
Ireland,2016,"Nursing and midwifery personnel (per 10,000)",155.7
Israel,2016,"Nursing and midwifery personnel (per 10,000)",55.81
Italy,2016,"Nursing and midwifery personnel (per 10,000)",58.36
Jamaica,2016,"Nursing and midwifery personnel (per 10,000)",16.07
Japan,2016,"Nursing and midwifery personnel (per 10,000)",119.5
Kenya,2016,"Nursing and midwifery personnel (per 10,000)",10.36
Kuwait,2016,"Nursing and midwifery personnel (per 10,000)",70.9
Lao People's Democratic Republic,2016,"Nursing and midwifery personnel (per 10,000)",10.3
Latvia,2016,"Nursing and midwifery personnel (per 10,000)",48.06
Lebanon,2016,"Nursing and midwifery personnel (per 10,000)",15.72
Lithuania,2016,"Nursing and midwifery personnel (per 10,000)",79.67
