Location,Period,Indicator,First Tooltip
Afghanistan,2016,Maternal mortality ratio (per 100 000 live births),673 [457-1040]
Albania,2016,Maternal mortality ratio (per 100 000 live births),16 [8-26]
Algeria,2016,Maternal mortality ratio (per 100 000 live births),113 [66-203]
Angola,2016,Maternal mortality ratio (per 100 000 live births),246 [172-349]
Antigua and Barbuda,2016,Maternal mortality ratio (per 100 000 live births),43 [25-70]
Argentina,2016,Maternal mortality ratio (per 100 000 live births),40 [37-43]
Armenia,2016,Maternal mortality ratio (per 100 000 live births),26 [21-32]
Australia,2016,Maternal mortality ratio (per 100 000 live births),6 [5-8]
Austria,2016,Maternal mortality ratio (per 100 000 live births),5 [4-7]
Azerbaijan,2016,Maternal mortality ratio (per 100 000 live births),26 [22-32]
Bahamas,2016,Maternal mortality ratio (per 100 000 live births),72 [50-110]
Bahrain,2016,Maternal mortality ratio (per 100 000 live births),15 [11-21]
Bangladesh,2016,Maternal mortality ratio (per 100 000 live births),186 [143-248]
Barbados,2016,Maternal mortality ratio (per 100 000 live births),30 [19-44]
Belarus,2016,Maternal mortality ratio (per 100 000 live births),3 [1-4]
Belgium,2016,Maternal mortality ratio (per 100 000 live births),5 [4-7]
Belize,2016,Maternal mortality ratio (per 100 000 live births),39 [29-52]
Benin,2016,Maternal mortality ratio (per 100 000 live births),408 [302-575]
Bhutan,2016,Maternal mortality ratio (per 100 000 live births),193 [136-301]
Bolivia (Plurinational State of),2016,Maternal mortality ratio (per 100 000 live births),161 [119-218]
Bosnia and Herzegovina,2016,Maternal mortality ratio (per 100 000 live births),10 [5-16]
Botswana,2016,Maternal mortality ratio (per 100 000 live births),151 [130-175]
Brazil,2016,Maternal mortality ratio (per 100 000 live births),62 [61-63]
Brunei Darussalam,2016,Maternal mortality ratio (per 100 000 live births),31 [21-44]
Bulgaria,2016,Maternal mortality ratio (per 100 000 live births),10 [7-14]
Burkina Faso,2016,Maternal mortality ratio (per 100 000 live births),331 [230-462]
Burundi,2016,Maternal mortality ratio (per 100 000 live births),558 [425-729]
Cabo Verde,2016,Maternal mortality ratio (per 100 000 live births),59 [46-76]
Cambodia,2016,Maternal mortality ratio (per 100 000 live births),168 [124-229]
Cameroon,2016,Maternal mortality ratio (per 100 000 live births),538 [388-788]
Canada,2016,Maternal mortality ratio (per 100 000 live births),10 [8-14]
Central African Republic,2016,Maternal mortality ratio (per 100 000 live births),890 [503-1560]
Chad,2016,Maternal mortality ratio (per 100 000 live births),1140 [860-1570]
Chile,2016,Maternal mortality ratio (per 100 000 live births),13 [12-15]
China,2016,Maternal mortality ratio (per 100 000 live births),29 [23-35]
Colombia,2016,Maternal mortality ratio (per 100 000 live births),84 [72-98]
Comoros,2016,Maternal mortality ratio (per 100 000 live births),279 [172-440]
Congo,2016,Maternal mortality ratio (per 100 000 live births),397 [288-541]
Costa Rica,2016,Maternal mortality ratio (per 100 000 live births),28 [24-31]
Côte d’Ivoire,2016,Maternal mortality ratio (per 100 000 live births),636 [444-913]
Croatia,2016,Maternal mortality ratio (per 100 000 live births),7 [5-9]
Cuba,2016,Maternal mortality ratio (per 100 000 live births),37 [34-40]
Cyprus,2016,Maternal mortality ratio (per 100 000 live births),6 [4-10]
Czechia,2016,Maternal mortality ratio (per 100 000 live births),4 [2-5]
Democratic People's Republic of Korea,2016,Maternal mortality ratio (per 100 000 live births),90 [39-204]
Democratic Republic of the Congo,2016,Maternal mortality ratio (per 100 000 live births),481 [351-691]
Denmark,2016,Maternal mortality ratio (per 100 000 live births),4 [3-5]
Djibouti,2016,Maternal mortality ratio (per 100 000 live births),246 [117-520]
Dominican Republic,2016,Maternal mortality ratio (per 100 000 live births),94 [88-100]
Ecuador,2016,Maternal mortality ratio (per 100 000 live births),61 [56-67]
Egypt,2016,Maternal mortality ratio (per 100 000 live births),38 [28-47]
El Salvador,2016,Maternal mortality ratio (per 100 000 live births),47 [38-58]
Equatorial Guinea,2016,Maternal mortality ratio (per 100 000 live births),301 [182-497]
Eritrea,2016,Maternal mortality ratio (per 100 000 live births),498 [344-733]
Estonia,2016,Maternal mortality ratio (per 100 000 live births),11 [6-16]
Eswatini,2016,Maternal mortality ratio (per 100 000 live births),436 [257-771]
Ethiopia,2016,Maternal mortality ratio (per 100 000 live births),422 [316-585]
Fiji,2016,Maternal mortality ratio (per 100 000 live births),34 [28-43]
Finland,2016,Maternal mortality ratio (per 100 000 live births),3 [2-5]
France,2016,Maternal mortality ratio (per 100 000 live births),8 [7-10]
Gabon,2016,Maternal mortality ratio (per 100 000 live births),256 [170-407]
Gambia,2016,Maternal mortality ratio (per 100 000 live births),611 [456-816]
Georgia,2016,Maternal mortality ratio (per 100 000 live births),26 [23-29]
Germany,2016,Maternal mortality ratio (per 100 000 live births),5 [4-6]
Ghana,2016,Maternal mortality ratio (per 100 000 live births),314 [230-424]
Greece,2016,Maternal mortality ratio (per 100 000 live births),3 [2-4]
Grenada,2016,Maternal mortality ratio (per 100 000 live births),25 [16-38]
Guatemala,2016,Maternal mortality ratio (per 100 000 live births),98 [91-105]
Guinea,2016,Maternal mortality ratio (per 100 000 live births),621 [476-826]
Guinea-Bissau,2016,Maternal mortality ratio (per 100 000 live births),679 [470-997]
Guyana,2016,Maternal mortality ratio (per 100 000 live births),170 [134-213]
Haiti,2016,Maternal mortality ratio (per 100 000 live births),489 [356-682]
Honduras,2016,Maternal mortality ratio (per 100 000 live births),65 [58-75]
Hungary,2016,Maternal mortality ratio (per 100 000 live births),12 [9-16]
Iceland,2016,Maternal mortality ratio (per 100 000 live births),4 [2-7]
India,2016,Maternal mortality ratio (per 100 000 live births),150 [123-182]
Indonesia,2016,Maternal mortality ratio (per 100 000 live births),184 [134-259]
Iran (Islamic Republic of),2016,Maternal mortality ratio (per 100 000 live births),16 [13-20]
Iraq,2016,Maternal mortality ratio (per 100 000 live births),78 [53-110]
Ireland,2016,Maternal mortality ratio (per 100 000 live births),6 [4-8]
Israel,2016,Maternal mortality ratio (per 100 000 live births),3 [3-4]
Italy,2016,Maternal mortality ratio (per 100 000 live births),2 [1-2]
Jamaica,2016,Maternal mortality ratio (per 100 000 live births),80 [68-95]
Japan,2016,Maternal mortality ratio (per 100 000 live births),5 [4-6]
Jordan,2016,Maternal mortality ratio (per 100 000 live births),47 [33-66]
Kazakhstan,2016,Maternal mortality ratio (per 100 000 live births),10 [8-13]
Kenya,2016,Maternal mortality ratio (per 100 000 live births),346 [259-473]
Kiribati,2016,Maternal mortality ratio (per 100 000 live births),94 [51-160]
Kuwait,2016,Maternal mortality ratio (per 100 000 live births),12 [8-17]
Kyrgyzstan,2016,Maternal mortality ratio (per 100 000 live births),63 [53-78]
Lao People's Democratic Republic,2016,Maternal mortality ratio (per 100 000 live births),196 [149-264]
Latvia,2016,Maternal mortality ratio (per 100 000 live births),26 [20-34]
Lebanon,2016,Maternal mortality ratio (per 100 000 live births),29 [22-38]
Lesotho,2016,Maternal mortality ratio (per 100 000 live births),559 [406-793]
Liberia,2016,Maternal mortality ratio (per 100 000 live births),661 [488-924]
Libya,2016,Maternal mortality ratio (per 100 000 live births),73 [31-167]
Lithuania,2016,Maternal mortality ratio (per 100 000 live births),8 [6-12]
Luxembourg,2016,Maternal mortality ratio (per 100 000 live births),5 [3-9]
Madagascar,2016,Maternal mortality ratio (per 100 000 live births),348 [242-497]
Malawi,2016,Maternal mortality ratio (per 100 000 live births),358 [255-509]
Malaysia,2016,Maternal mortality ratio (per 100 000 live births),29 [25-36]
Maldives,2016,Maternal mortality ratio (per 100 000 live births),54 [37-85]
Mali,2016,Maternal mortality ratio (per 100 000 live births),590 [446-807]
Malta,2016,Maternal mortality ratio (per 100 000 live births),6 [4-11]
Mauritania,2016,Maternal mortality ratio (per 100 000 live births),777 [543-1130]
Mauritius,2016,Maternal mortality ratio (per 100 000 live births),67 [51-90]
Mexico,2016,Maternal mortality ratio (per 100 000 live births),34 [33-36]
Micronesia (Federated States of),2016,Maternal mortality ratio (per 100 000 live births),90 [41-196]
Mongolia,2016,Maternal mortality ratio (per 100 000 live births),46 [37-55]
Montenegro,2016,Maternal mortality ratio (per 100 000 live births),6 [3-10]
Morocco,2016,Maternal mortality ratio (per 100 000 live births),72 [56-91]
Mozambique,2016,Maternal mortality ratio (per 100 000 live births),301 [218-427]
Myanmar,2016,Maternal mortality ratio (per 100 000 live births),245 [182-338]
Namibia,2016,Maternal mortality ratio (per 100 000 live births),207 [153-291]
Nepal,2016,Maternal mortality ratio (per 100 000 live births),200 [147-280]
Netherlands,2016,Maternal mortality ratio (per 100 000 live births),6 [4-7]
New Zealand,2016,Maternal mortality ratio (per 100 000 live births),10 [8-12]
Nicaragua,2016,Maternal mortality ratio (per 100 000 live births),100 [79-128]
Niger,2016,Maternal mortality ratio (per 100 000 live births),530 [388-742]
Nigeria,2016,Maternal mortality ratio (per 100 000 live births),925 [672-1300]
Norway,2016,Maternal mortality ratio (per 100 000 live births),3 [2-3]
Oman,2016,Maternal mortality ratio (per 100 000 live births),19 [16-22]
Pakistan,2016,Maternal mortality ratio (per 100 000 live births),143 [88-233]
Panama,2016,Maternal mortality ratio (per 100 000 live births),55 [49-61]
Papua New Guinea,2016,Maternal mortality ratio (per 100 000 live births),148 [68-319]
Paraguay,2016,Maternal mortality ratio (per 100 000 live births),86 [74-98]
Peru,2016,Maternal mortality ratio (per 100 000 live births),91 [72-112]
Philippines,2016,Maternal mortality ratio (per 100 000 live births),124 [95-169]
Poland,2016,Maternal mortality ratio (per 100 000 live births),2 [2-3]
Portugal,2016,Maternal mortality ratio (per 100 000 live births),9 [7-12]
Qatar,2016,Maternal mortality ratio (per 100 000 live births),9 [6-14]
Republic of Korea,2016,Maternal mortality ratio (per 100 000 live births),11 [10-13]
Republic of Moldova,2016,Maternal mortality ratio (per 100 000 live births),20 [16-25]
The former Yugoslav Republic of Macedonia,2016,Maternal mortality ratio (per 100 000 live births),8 [5-11]
Romania,2016,Maternal mortality ratio (per 100 000 live births),21 [16-27]
Russian Federation,2016,Maternal mortality ratio (per 100 000 live births),18 [13-23]
Rwanda,2016,Maternal mortality ratio (per 100 000 live births),260 [194-357]
Saint Lucia,2016,Maternal mortality ratio (per 100 000 live births),117 [72-191]
Saint Vincent and the Grenadines,2016,Maternal mortality ratio (per 100 000 live births),67 [43-97]
Samoa,2016,Maternal mortality ratio (per 100 000 live births),44 [21-98]
Sao Tome and Principe,2016,Maternal mortality ratio (per 100 000 live births),130 [74-215]
Saudi Arabia,2016,Maternal mortality ratio (per 100 000 live births),17 [10-29]
Senegal,2016,Maternal mortality ratio (per 100 000 live births),330 [251-447]
Serbia,2016,Maternal mortality ratio (per 100 000 live births),12 [9-16]
Seychelles,2016,Maternal mortality ratio (per 100 000 live births),54 [26-109]
Sierra Leone,2016,Maternal mortality ratio (per 100 000 live births),1120 [822-1600]
Singapore,2016,Maternal mortality ratio (per 100 000 live births),8 [6-13]
Slovakia,2016,Maternal mortality ratio (per 100 000 live births),6 [4-8]
Slovenia,2016,Maternal mortality ratio (per 100 000 live births),7 [5-9]
Solomon Islands,2016,Maternal mortality ratio (per 100 000 live births),108 [73-160]
Somalia,2016,Maternal mortality ratio (per 100 000 live births),865 [407-1650]
South Africa,2016,Maternal mortality ratio (per 100 000 live births),122 [100-155]
South Sudan,2016,Maternal mortality ratio (per 100 000 live births),1130 [782-1650]
Spain,2016,Maternal mortality ratio (per 100 000 live births),4 [3-5]
Sri Lanka,2016,Maternal mortality ratio (per 100 000 live births),36 [32-41]
Sudan,2016,Maternal mortality ratio (per 100 000 live births),308 [219-421]
Suriname,2016,Maternal mortality ratio (per 100 000 live births),121 [99-144]
Sweden,2016,Maternal mortality ratio (per 100 000 live births),4 [3-6]
Switzerland,2016,Maternal mortality ratio (per 100 000 live births),5 [4-8]
Syrian Arab Republic,2016,Maternal mortality ratio (per 100 000 live births),30 [20-48]
Tajikistan,2016,Maternal mortality ratio (per 100 000 live births),17 [11-27]
Thailand,2016,Maternal mortality ratio (per 100 000 live births),37 [33-43]
Timor-Leste,2016,Maternal mortality ratio (per 100 000 live births),152 [112-203]
Togo,2016,Maternal mortality ratio (per 100 000 live births),395 [274-549]
Tonga,2016,Maternal mortality ratio (per 100 000 live births),53 [25-117]
Trinidad and Tobago,2016,Maternal mortality ratio (per 100 000 live births),68 [51-90]
Tunisia,2016,Maternal mortality ratio (per 100 000 live births),45 [35-55]
Turkey,2016,Maternal mortality ratio (per 100 000 live births),18 [15-21]
Turkmenistan,2016,Maternal mortality ratio (per 100 000 live births),8 [5-10]
Uganda,2016,Maternal mortality ratio (per 100 000 live births),381 [285-522]
Ukraine,2016,Maternal mortality ratio (per 100 000 live births),20 [15-26]
United Arab Emirates,2016,Maternal mortality ratio (per 100 000 live births),3 [2-5]
United Kingdom of Great Britain and Northern Ireland,2016,Maternal mortality ratio (per 100 000 live births),7 [6-8]
United Republic of Tanzania,2016,Maternal mortality ratio (per 100 000 live births),539 [416-721]
United States of America,2016,Maternal mortality ratio (per 100 000 live births),19 [17-21]
Uruguay,2016,Maternal mortality ratio (per 100 000 live births),18 [15-21]
Uzbekistan,2016,Maternal mortality ratio (per 100 000 live births),29 [24-37]
Vanuatu,2016,Maternal mortality ratio (per 100 000 live births),74 [34-164]
Venezuela (Bolivarian Republic of),2016,Maternal mortality ratio (per 100 000 live births),121 [96-162]
Viet Nam,2016,Maternal mortality ratio (per 100 000 live births),44 [32-61]
Yemen,2016,Maternal mortality ratio (per 100 000 live births),165 [104-249]
Zambia,2016,Maternal mortality ratio (per 100 000 live births),222 [168-295]
Zimbabwe,2016,Maternal mortality ratio (per 100 000 live births),468 [372-580]
