,Location,Period,Indicator,Dim1,First Tooltip
4,Afghanistan,2015,Neonatal mortality rate (per 1000 live births),Both sexes,40.27 [34.34-46.94]
37,Albania,2015,Neonatal mortality rate (per 1000 live births),Both sexes,6.03 [5.49-6.54]
78,Algeria,2015,Neonatal mortality rate (per 1000 live births),Both sexes,15.05 [14.4-15.68]
129,Andorra,2015,Neonatal mortality rate (per 1000 live births),Both sexes,1.71 [0.56-5.27]
160,Angola,2015,Neonatal mortality rate (per 1000 live births),Both sexes,30.63 [15.65-53.27]
191,Antigua and Barbuda,2015,Neonatal mortality rate (per 1000 live births),Both sexes,4.28 [3.31-5.47]
240,Argentina,2015,Neonatal mortality rate (per 1000 live births),Both sexes,6.64 [6.44-6.84]
290,Armenia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,7.82 [5.73-10.38]
333,Australia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.35 [2.27-2.43]
385,Austria,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.25 [2.12-2.38]
450,Azerbaijan,2015,Neonatal mortality rate (per 1000 live births),Both sexes,14.24 [10.22-19.48]
487,Bahamas,2015,Neonatal mortality rate (per 1000 live births),Both sexes,7.42 [6.34-8.65]
538,Bahrain,2015,Neonatal mortality rate (per 1000 live births),Both sexes,3.21 [2.76-3.71]
587,Bangladesh,2015,Neonatal mortality rate (per 1000 live births),Both sexes,22.51 [21.03-24.06]
655,Barbados,2015,Neonatal mortality rate (per 1000 live births),Both sexes,9.34 [7.51-11.49]
707,Belarus,2015,Neonatal mortality rate (per 1000 live births),Both sexes,1.64 [1.39-1.91]
738,Belgium,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.22 [2.1-2.35]
798,Belize,2015,Neonatal mortality rate (per 1000 live births),Both sexes,10.01 [9.14-10.9]
850,Benin,2015,Neonatal mortality rate (per 1000 live births),Both sexes,32.35 [28.33-36.81]
912,Bhutan,2015,Neonatal mortality rate (per 1000 live births),Both sexes,18.66 [12.65-26.57]
943,Bolivia (Plurinational State of),2015,Neonatal mortality rate (per 1000 live births),Both sexes,17.06 [13.7-20.9]
997,Bosnia and Herzegovina,2015,Neonatal mortality rate (per 1000 live births),Both sexes,4.56 [4.23-4.9]
1032,Botswana,2015,Neonatal mortality rate (per 1000 live births),Both sexes,17.02 [6.73-31.8]
1087,Brazil,2015,Neonatal mortality rate (per 1000 live births),Both sexes,9.39 [8.77-10.04]
1144,Brunei Darussalam,2015,Neonatal mortality rate (per 1000 live births),Both sexes,5.18 [4.67-5.74]
1175,Bulgaria,2015,Neonatal mortality rate (per 1000 live births),Both sexes,4.04 [3.83-4.26]
1231,Burkina Faso,2015,Neonatal mortality rate (per 1000 live births),Both sexes,27.99 [20.17-37.32]
1282,Burundi,2015,Neonatal mortality rate (per 1000 live births),Both sexes,23.3 [17.29-31.21]
1338,Cabo Verde,2015,Neonatal mortality rate (per 1000 live births),Both sexes,11.75 [10.49-13.13]
1383,Cambodia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,16.87 [10.9-26.39]
1426,Cameroon,2015,Neonatal mortality rate (per 1000 live births),Both sexes,28.62 [24.54-33.31]
1491,Canada,2015,Neonatal mortality rate (per 1000 live births),Both sexes,3.52 [3.42-3.62]
1542,Central African Republic,2015,Neonatal mortality rate (per 1000 live births),Both sexes,42.9 [26.68-69.07]
1591,Chad,2015,Neonatal mortality rate (per 1000 live births),Both sexes,35.58 [28.1-44.33]
1638,Chile,2015,Neonatal mortality rate (per 1000 live births),Both sexes,5.1 [4.86-5.34]
1690,China,2015,Neonatal mortality rate (per 1000 live births),Both sexes,5.38 [4.88-5.9]
1721,Colombia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,8.51 [6.61-10.9]
1788,Comoros,2015,Neonatal mortality rate (per 1000 live births),Both sexes,32.64 [13.25-70.8]
1835,Congo,2015,Neonatal mortality rate (per 1000 live births),Both sexes,20.87 [14.09-30.94]
1873,Cook Islands,2015,Neonatal mortality rate (per 1000 live births),Both sexes,4.75 [2.67-7.9]
1904,Costa Rica,2015,Neonatal mortality rate (per 1000 live births),Both sexes,6.21 [5.95-6.49]
1971,Croatia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,3.12 [2.91-3.34]
2009,Cuba,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.35 [2.1-2.63]
2061,Cyprus,2015,Neonatal mortality rate (per 1000 live births),Both sexes,1.58 [1.31-1.9]
2092,Czechia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,1.59 [1.48-1.7]
2130,Democratic People's Republic of Korea,2015,Neonatal mortality rate (per 1000 live births),Both sexes,11.58 [6.96-17.17]
2161,Democratic Republic of the Congo,2015,Neonatal mortality rate (per 1000 live births),Both sexes,29.63 [20.35-41.18]
2197,Denmark,2015,Neonatal mortality rate (per 1000 live births),Both sexes,3.27 [2.9-3.61]
2257,Djibouti,2015,Neonatal mortality rate (per 1000 live births),Both sexes,33.45 [21.9-50.18]
2298,Dominica,2015,Neonatal mortality rate (per 1000 live births),Both sexes,24.61 [21.62-27.92]
2349,Dominican Republic,2015,Neonatal mortality rate (per 1000 live births),Both sexes,21.41 [16.32-28.08]
2406,Ecuador,2015,Neonatal mortality rate (per 1000 live births),Both sexes,7.89 [7.33-8.52]
2470,Egypt,2015,Neonatal mortality rate (per 1000 live births),Both sexes,12.85 [10.12-16.42]
2533,El Salvador,2015,Neonatal mortality rate (per 1000 live births),Both sexes,7.6 [5.29-11.03]
2568,Equatorial Guinea,2015,Neonatal mortality rate (per 1000 live births),Both sexes,31.59 [18.56-49.56]
2599,Eritrea,2015,Neonatal mortality rate (per 1000 live births),Both sexes,19.4 [13.09-28.76]
2642,Estonia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,1.42 [1.24-1.6]
2674,Eswatini,2015,Neonatal mortality rate (per 1000 live births),Both sexes,19.64 [13.75-27.41]
2711,Ethiopia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,31.76 [27.71-36.53]
2754,Fiji,2015,Neonatal mortality rate (per 1000 live births),Both sexes,9.93 [8.69-11.24]
2785,Finland,2015,Neonatal mortality rate (per 1000 live births),Both sexes,1.4 [1.3-1.5]
2845,France,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.41 [2.32-2.49]
2905,Gabon,2015,Neonatal mortality rate (per 1000 live births),Both sexes,22.21 [15.19-31.74]
2943,Gambia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,29.89 [25.09-35.55]
2974,Georgia,2015,Neonatal mortality rate (per 1000 live births),Both sexes,6.69 [6.15-7.26]
3017,Germany,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.3 [2.23-2.37]
3068,Ghana,2015,Neonatal mortality rate (per 1000 live births),Both sexes,25.84 [22.67-29.44]
3123,Greece,2015,Neonatal mortality rate (per 1000 live births),Both sexes,2.66 [2.51-2.81]
3183,Grenada,2015,Neonatal mortality rate (per 1000 live births),Both sexes,10.66 [9.34-12.12]
3214,Guatemala,2015,Neonatal mortality rate (per 1000 live births),Both sexes,14.02 [11.65-16.82]
3270,Guinea,2015,Neonatal mortality rate (per 1000 live births),Both sexes,31.9 [26.73-38.16]
3314,Guinea-Bissau,2015,Neonatal mortality rate (per 1000 live births),Both sexes,38.45 [26.48-53.94]
3347,Guyana,2015,Neonatal mortality rate (per 1000 live births),Both sexes,20.5 [13.88-30.25]
3415,Haiti,2015,Neonatal mortality rate (per 1000 live births),Both sexes,27.13 [21.54-34.49]
3476,Honduras,2015,Neonatal mortality rate (per 1000 live births),Both sexes,10.52 [7.76-14.3]
