Location,Indicator,Period,First Tooltip
Afghanistan,Reported number of people requiring interventions against NTDs,2016,13275429
Albania,Reported number of people requiring interventions against NTDs,2016,21
Algeria,Reported number of people requiring interventions against NTDs,2016,10752
Andorra,Reported number of people requiring interventions against NTDs,2016,0
Angola,Reported number of people requiring interventions against NTDs,2016,14419092
Antigua and Barbuda,Reported number of people requiring interventions against NTDs,2016,176
Argentina,Reported number of people requiring interventions against NTDs,2016,80002
Armenia,Reported number of people requiring interventions against NTDs,2016,39149
Australia,Reported number of people requiring interventions against NTDs,2016,20994
Austria,Reported number of people requiring interventions against NTDs,2016,118
Azerbaijan,Reported number of people requiring interventions against NTDs,2016,1719031
Bahamas,Reported number of people requiring interventions against NTDs,2016,4077
Bahrain,Reported number of people requiring interventions against NTDs,2016,3
Bangladesh,Reported number of people requiring interventions against NTDs,2016,47484224
Barbados,Reported number of people requiring interventions against NTDs,2016,1433
Belarus,Reported number of people requiring interventions against NTDs,2016,0
Belgium,Reported number of people requiring interventions against NTDs,2016,20
Belize,Reported number of people requiring interventions against NTDs,2016,7312
Benin,Reported number of people requiring interventions against NTDs,2016,6938376
Bhutan,Reported number of people requiring interventions against NTDs,2016,241761
Bolivia (Plurinational State of),Reported number of people requiring interventions against NTDs,2016,1879813
Bosnia and Herzegovina,Reported number of people requiring interventions against NTDs,2016,0
Botswana,Reported number of people requiring interventions against NTDs,2016,261950
Brazil,Reported number of people requiring interventions against NTDs,2016,10461013
Brunei Darussalam,Reported number of people requiring interventions against NTDs,2016,9240
Bulgaria,Reported number of people requiring interventions against NTDs,2016,272
Burkina Faso,Reported number of people requiring interventions against NTDs,2016,12492287
Burundi,Reported number of people requiring interventions against NTDs,2016,5898120
Cabo Verde,Reported number of people requiring interventions against NTDs,2016,145562
Cambodia,Reported number of people requiring interventions against NTDs,2016,4771389
Cameroon,Reported number of people requiring interventions against NTDs,2016,19389766
Canada,Reported number of people requiring interventions against NTDs,2016,0
Central African Republic,Reported number of people requiring interventions against NTDs,2016,3756993
Chad,Reported number of people requiring interventions against NTDs,2016,6138675
Chile,Reported number of people requiring interventions against NTDs,2016,44
China,Reported number of people requiring interventions against NTDs,2016,26375574
Colombia,Reported number of people requiring interventions against NTDs,2016,3761361
Comoros,Reported number of people requiring interventions against NTDs,2016,527919
Congo,Reported number of people requiring interventions against NTDs,2016,2278289
Cook Islands,Reported number of people requiring interventions against NTDs,2016,0
Costa Rica,Reported number of people requiring interventions against NTDs,2016,24462
Côte d’Ivoire,Reported number of people requiring interventions against NTDs,2016,16756532
Croatia,Reported number of people requiring interventions against NTDs,2016,9
Cuba,Reported number of people requiring interventions against NTDs,2016,43687
Cyprus,Reported number of people requiring interventions against NTDs,2016,1
Czechia,Reported number of people requiring interventions against NTDs,2016,4
Democratic People's Republic of Korea,Reported number of people requiring interventions against NTDs,2016,5214937
Democratic Republic of the Congo,Reported number of people requiring interventions against NTDs,2016,49900757
Denmark,Reported number of people requiring interventions against NTDs,2016,0
Djibouti,Reported number of people requiring interventions against NTDs,2016,110561
Dominica,Reported number of people requiring interventions against NTDs,2016,7473
Dominican Republic,Reported number of people requiring interventions against NTDs,2016,970832
Ecuador,Reported number of people requiring interventions against NTDs,2016,1942753
Egypt,Reported number of people requiring interventions against NTDs,2016,1673826
El Salvador,Reported number of people requiring interventions against NTDs,2016,742568
Equatorial Guinea,Reported number of people requiring interventions against NTDs,2016,428948
Eritrea,Reported number of people requiring interventions against NTDs,2016,1497725
Estonia,Reported number of people requiring interventions against NTDs,2016,9
Eswatini,Reported number of people requiring interventions against NTDs,2016,198319
Ethiopia,Reported number of people requiring interventions against NTDs,2016,74204513
Fiji,Reported number of people requiring interventions against NTDs,2016,905113
Finland,Reported number of people requiring interventions against NTDs,2016,4
France,Reported number of people requiring interventions against NTDs,2016,346
Gabon,Reported number of people requiring interventions against NTDs,2016,694499
Gambia,Reported number of people requiring interventions against NTDs,2016,177144
Georgia,Reported number of people requiring interventions against NTDs,2016,412310
Germany,Reported number of people requiring interventions against NTDs,2016,1129
Ghana,Reported number of people requiring interventions against NTDs,2016,15536910
Greece,Reported number of people requiring interventions against NTDs,2016,79
Grenada,Reported number of people requiring interventions against NTDs,2016,151
Guatemala,Reported number of people requiring interventions against NTDs,2016,3265661
Guinea,Reported number of people requiring interventions against NTDs,2016,7246135
Guinea-Bissau,Reported number of people requiring interventions against NTDs,2016,1576882
Guyana,Reported number of people requiring interventions against NTDs,2016,720459
Haiti,Reported number of people requiring interventions against NTDs,2016,7581135
Honduras,Reported number of people requiring interventions against NTDs,2016,2752416
Hungary,Reported number of people requiring interventions against NTDs,2016,29
Iceland,Reported number of people requiring interventions against NTDs,2016,0
India,Reported number of people requiring interventions against NTDs,2016,631000000
Indonesia,Reported number of people requiring interventions against NTDs,2016,102000000
Iran (Islamic Republic of),Reported number of people requiring interventions against NTDs,2016,14597
Iraq,Reported number of people requiring interventions against NTDs,2016,2170486
Ireland,Reported number of people requiring interventions against NTDs,2016,20
Israel,Reported number of people requiring interventions against NTDs,2016,241
Italy,Reported number of people requiring interventions against NTDs,2016,214
Jamaica,Reported number of people requiring interventions against NTDs,2016,347536
Japan,Reported number of people requiring interventions against NTDs,2016,5
Jordan,Reported number of people requiring interventions against NTDs,2016,126
Kazakhstan,Reported number of people requiring interventions against NTDs,2016,185
Kenya,Reported number of people requiring interventions against NTDs,2016,11770703
Kiribati,Reported number of people requiring interventions against NTDs,2016,117424
Kuwait,Reported number of people requiring interventions against NTDs,2016,6
Kyrgyzstan,Reported number of people requiring interventions against NTDs,2016,113625
Lao People's Democratic Republic,Reported number of people requiring interventions against NTDs,2016,2206011
Latvia,Reported number of people requiring interventions against NTDs,2016,20
Lebanon,Reported number of people requiring interventions against NTDs,2016,1
Lesotho,Reported number of people requiring interventions against NTDs,2016,530557
Liberia,Reported number of people requiring interventions against NTDs,2016,2919973
Libya,Reported number of people requiring interventions against NTDs,2016,2680
Lithuania,Reported number of people requiring interventions against NTDs,2016,30
Luxembourg,Reported number of people requiring interventions against NTDs,2016,1
Madagascar,Reported number of people requiring interventions against NTDs,2016,18863123
Malawi,Reported number of people requiring interventions against NTDs,2016,11435030
Malaysia,Reported number of people requiring interventions against NTDs,2016,120318
Maldives,Reported number of people requiring interventions against NTDs,2016,1937
Mali,Reported number of people requiring interventions against NTDs,2016,18605778
