,Location,Indicator,Period,Dim1,First Tooltip
3,Afghanistan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.22
18,Albania,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.43
33,Algeria,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.8
48,Angola,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.95
63,Antigua and Barbuda,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.38
78,Argentina,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.65
93,Armenia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.67
108,Australia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.2
123,Austria,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.24
138,Azerbaijan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.58
153,Bahamas,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.14
168,Bahrain,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.21
183,Bangladesh,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.31
198,Barbados,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.21
213,Belarus,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.67
228,Belgium,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.24
243,Belize,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.51
258,Benin,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,3.58
273,Bhutan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.61
288,Bolivia (Plurinational State of),Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.11
303,Bosnia and Herzegovina,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.53
318,Botswana,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.18
333,Brazil,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.2
348,Brunei Darussalam,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.34
363,Bulgaria,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.62
378,Burkina Faso,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,3.03
393,Burundi,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,5.3
408,Cabo Verde,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.51
423,Cambodia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.65
438,Cameroon,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,3.25
453,Canada,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.31
468,Central African Republic,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,3.46
483,Chad,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,3.67
498,Chile,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.21
513,China,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.38
528,Colombia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.36
543,Comoros,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,2.43
558,Congo,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.3
573,Costa Rica,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.29
588,Côte d’Ivoire,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,4.01
603,Croatia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.19
618,Cuba,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.32
633,Cyprus,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.1
648,Czechia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.3
663,Democratic People's Republic of Korea,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,1.94
678,Democratic Republic of the Congo,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,3.26
693,Denmark,Mortality rate attributed to unintentional poisoning (per 100 000 population),2015,Both sexes,0.16
