Location,Indicator,Period,Dim1,First Tooltip
Afghanistan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.19
Albania,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.44
Algeria,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.77
Angola,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.7
Antigua and Barbuda,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.39
Argentina,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.64
Armenia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.63
Australia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.19
Austria,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.22
Azerbaijan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.55
Bahamas,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.14
Bahrain,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.21
Bangladesh,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.29
Barbados,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.2
Belarus,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.61
Belgium,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.23
Belize,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.49
Benin,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,3.51
Bhutan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.58
Bolivia (Plurinational State of),Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.03
Bosnia and Herzegovina,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.52
Botswana,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.12
Brazil,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.19
Brunei Darussalam,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.34
Bulgaria,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.61
Burkina Faso,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.96
Burundi,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,5.19
Cabo Verde,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.51
Cambodia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.6
Cameroon,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,3.12
Canada,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.3
Central African Republic,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,3.22
Chad,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,3.59
Chile,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.21
China,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.36
Colombia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.37
Comoros,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.37
Congo,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.23
Costa Rica,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.29
Côte d’Ivoire,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,3.95
Croatia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.17
Cuba,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.31
Cyprus,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.1
Czechia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.3
Democratic People's Republic of Korea,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.9
Democratic Republic of the Congo,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,3.21
Denmark,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.15
Djibouti,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.35
Dominican Republic,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.38
Ecuador,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.59
Egypt,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.22
El Salvador,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.23
Equatorial Guinea,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.92
Eritrea,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,4.17
Estonia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.48
Eswatini,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,3.31
Ethiopia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.87
Fiji,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.44
Finland,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.23
France,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.46
Gabon,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.93
Gambia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.89
Georgia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.81
Germany,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.15
Ghana,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.66
Greece,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.23
Grenada,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.36
Guatemala,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.07
Guinea,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.96
Guinea-Bissau,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.19
Guyana,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.73
Haiti,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.57
Honduras,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.39
Hungary,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.27
Iceland,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.21
India,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,2.36
Indonesia,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.4
Iran (Islamic Republic of),Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,1.2
Iraq,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.5
Ireland,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.21
Israel,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.14
Italy,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.27
Jamaica,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.21
Japan,Mortality rate attributed to unintentional poisoning (per 100 000 population),2016,Both sexes,0.41
