,Location,Indicator,Period,Dim1,First Tooltip
6,Albania,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,29.7
33,Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,19.1
60,Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,33.9
87,Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,23.6
114,Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,27.5
141,Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,17.1
168,Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,30.7
195,Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,20.3
222,Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,10.9
249,Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,25.3
276,Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,40.1
303,Barbados,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,8.8
330,Belarus,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,27.5
357,Belgium,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,25.5
384,Benin,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,7.8
411,Bosnia and Herzegovina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,39.1
438,Botswana,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,24.3
465,Brazil,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,17.8
492,Brunei Darussalam,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,15.7
519,Bulgaria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,40.1
546,Burkina Faso,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,16.9
573,Burundi,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,13.2
600,Cambodia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,23.6
627,Cameroon,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,9.4
654,Canada,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,19.1
681,Chad,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,12.1
708,Chile,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,45.5
735,China,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,25.1
762,Colombia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,8.6
789,Comoros,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,20.9
816,Congo,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,15.4
843,Cook Islands,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,28.0
870,Costa Rica,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,10.5
897,Côte d’Ivoire,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,13.4
924,Croatia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,36.3
951,Cuba,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,28.6
978,Cyprus,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,37.1
1005,Czechia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,31.9
1032,Democratic People's Republic of Korea,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,19.0
1059,Denmark,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,20.0
1086,Dominican Republic,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,10.1
1113,Egypt,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,21.3
1140,El Salvador,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,13.3
1167,Eritrea,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,7.7
1194,Estonia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,31.5
1221,Eswatini,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,10.8
1248,Ethiopia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,4.8
1275,Fiji,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,27.1
1302,Finland,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,20.4
1329,France,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,34.6
1356,Gambia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,15.0
1383,Georgia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,30.1
1410,Germany,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,28.6
1437,Ghana,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,3.9
1464,Greece,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,40.2
1491,Guyana,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,13.2
1518,Haiti,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,8.6
1545,Hungary,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,31.4
1572,Iceland,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,15.0
1599,India,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,28.8
1626,Indonesia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,38.1
