Location,Indicator,Period,First Tooltip
Afghanistan,Incidence of tuberculosis (per 100 000 population per year),2015,189 [122-270]
Albania,Incidence of tuberculosis (per 100 000 population per year),2015,17 [14-19]
Algeria,Incidence of tuberculosis (per 100 000 population per year),2015,75 [57-94]
Andorra,Incidence of tuberculosis (per 100 000 population per year),2015,5.9 [5-6.8]
Angola,Incidence of tuberculosis (per 100 000 population per year),2015,366 [237-523]
Antigua and Barbuda,Incidence of tuberculosis (per 100 000 population per year),2015,4.3 [3.7-5]
Argentina,Incidence of tuberculosis (per 100 000 population per year),2015,26 [22-30]
Armenia,Incidence of tuberculosis (per 100 000 population per year),2015,50 [38-63]
Australia,Incidence of tuberculosis (per 100 000 population per year),2015,6 [5.2-7]
Austria,Incidence of tuberculosis (per 100 000 population per year),2015,7.5 [6.4-8.6]
Azerbaijan,Incidence of tuberculosis (per 100 000 population per year),2015,71 [54-90]
Bahamas,Incidence of tuberculosis (per 100 000 population per year),2015,19 [16-22]
Bahrain,Incidence of tuberculosis (per 100 000 population per year),2015,15 [13-17]
Bangladesh,Incidence of tuberculosis (per 100 000 population per year),2015,221 [161-291]
Barbados,Incidence of tuberculosis (per 100 000 population per year),2015,0 [0-0]
Belarus,Incidence of tuberculosis (per 100 000 population per year),2015,50 [38-63]
Belgium,Incidence of tuberculosis (per 100 000 population per year),2015,9.5 [8.1-11]
Belize,Incidence of tuberculosis (per 100 000 population per year),2015,25 [21-29]
Benin,Incidence of tuberculosis (per 100 000 population per year),2015,60 [39-86]
Bhutan,Incidence of tuberculosis (per 100 000 population per year),2015,165 [127-209]
Bolivia (Plurinational State of),Incidence of tuberculosis (per 100 000 population per year),2015,117 [76-167]
Bosnia and Herzegovina,Incidence of tuberculosis (per 100 000 population per year),2015,40 [30-50]
Botswana,Incidence of tuberculosis (per 100 000 population per year),2015,356 [230-508]
Brazil,Incidence of tuberculosis (per 100 000 population per year),2015,43 [36-49]
Brunei Darussalam,Incidence of tuberculosis (per 100 000 population per year),2015,59 [50-68]
Bulgaria,Incidence of tuberculosis (per 100 000 population per year),2015,28 [22-36]
Burkina Faso,Incidence of tuberculosis (per 100 000 population per year),2015,52 [34-74]
Burundi,Incidence of tuberculosis (per 100 000 population per year),2015,122 [79-174]
Cabo Verde,Incidence of tuberculosis (per 100 000 population per year),2015,64 [49-81]
Cambodia,Incidence of tuberculosis (per 100 000 population per year),2015,366 [237-523]
Cameroon,Incidence of tuberculosis (per 100 000 population per year),2015,212 [137-303]
Canada,Incidence of tuberculosis (per 100 000 population per year),2015,5.2 [4.5-6]
Central African Republic,Incidence of tuberculosis (per 100 000 population per year),2015,540 [349-771]
Chad,Incidence of tuberculosis (per 100 000 population per year),2015,144 [93-206]
Chile,Incidence of tuberculosis (per 100 000 population per year),2015,16 [14-19]
China,Incidence of tuberculosis (per 100 000 population per year),2015,65 [55-75]
Colombia,Incidence of tuberculosis (per 100 000 population per year),2015,31 [24-39]
Comoros,Incidence of tuberculosis (per 100 000 population per year),2015,35 [22-49]
Congo,Incidence of tuberculosis (per 100 000 population per year),2015,379 [246-542]
Cook Islands,Incidence of tuberculosis (per 100 000 population per year),2015,0 [0-0]
Costa Rica,Incidence of tuberculosis (per 100 000 population per year),2015,11 [8.4-14]
Côte d’Ivoire,Incidence of tuberculosis (per 100 000 population per year),2015,159 [103-227]
Croatia,Incidence of tuberculosis (per 100 000 population per year),2015,13 [11-15]
Cuba,Incidence of tuberculosis (per 100 000 population per year),2015,7.1 [6.1-8.2]
Cyprus,Incidence of tuberculosis (per 100 000 population per year),2015,6.2 [5.3-7.2]
Czechia,Incidence of tuberculosis (per 100 000 population per year),2015,5.5 [4.7-6.4]
Democratic People's Republic of Korea,Incidence of tuberculosis (per 100 000 population per year),2015,513 [446-584]
Democratic Republic of the Congo,Incidence of tuberculosis (per 100 000 population per year),2015,324 [210-463]
Denmark,Incidence of tuberculosis (per 100 000 population per year),2015,6.5 [5.5-7.5]
Djibouti,Incidence of tuberculosis (per 100 000 population per year),2015,367 [281-465]
Dominica,Incidence of tuberculosis (per 100 000 population per year),2015,11 [9.7-13]
Dominican Republic,Incidence of tuberculosis (per 100 000 population per year),2015,55 [42-69]
Ecuador,Incidence of tuberculosis (per 100 000 population per year),2015,39 [30-50]
Egypt,Incidence of tuberculosis (per 100 000 population per year),2015,15 [13-16]
El Salvador,Incidence of tuberculosis (per 100 000 population per year),2015,48 [37-61]
Equatorial Guinea,Incidence of tuberculosis (per 100 000 population per year),2015,172 [150-194]
Eritrea,Incidence of tuberculosis (per 100 000 population per year),2015,102 [47-178]
Estonia,Incidence of tuberculosis (per 100 000 population per year),2015,18 [15-21]
Eswatini,Incidence of tuberculosis (per 100 000 population per year),2015,648 [408-943]
Ethiopia,Incidence of tuberculosis (per 100 000 population per year),2015,192 [142-250]
Fiji,Incidence of tuberculosis (per 100 000 population per year),2015,52 [40-66]
Finland,Incidence of tuberculosis (per 100 000 population per year),2015,5.6 [4.8-6.5]
France,Incidence of tuberculosis (per 100 000 population per year),2015,8.4 [7.4-9.5]
Gabon,Incidence of tuberculosis (per 100 000 population per year),2015,537 [348-767]
Gambia,Incidence of tuberculosis (per 100 000 population per year),2015,173 [128-223]
Georgia,Incidence of tuberculosis (per 100 000 population per year),2015,99 [80-120]
Germany,Incidence of tuberculosis (per 100 000 population per year),2015,7.3 [6.9-7.7]
Ghana,Incidence of tuberculosis (per 100 000 population per year),2015,160 [77-273]
Greece,Incidence of tuberculosis (per 100 000 population per year),2015,4.7 [4-5.5]
Grenada,Incidence of tuberculosis (per 100 000 population per year),2015,5.2 [4.5-6.1]
Guatemala,Incidence of tuberculosis (per 100 000 population per year),2015,26 [20-32]
Guinea,Incidence of tuberculosis (per 100 000 population per year),2015,177 [114-252]
Guinea-Bissau,Incidence of tuberculosis (per 100 000 population per year),2015,361 [234-516]
Guyana,Incidence of tuberculosis (per 100 000 population per year),2015,93 [71-118]
Haiti,Incidence of tuberculosis (per 100 000 population per year),2015,194 [154-238]
Honduras,Incidence of tuberculosis (per 100 000 population per year),2015,40 [31-50]
Hungary,Incidence of tuberculosis (per 100 000 population per year),2015,10 [8.6-12]
Iceland,Incidence of tuberculosis (per 100 000 population per year),2015,2.4 [2.1-2.8]
India,Incidence of tuberculosis (per 100 000 population per year),2015,217 [137-315]
Indonesia,Incidence of tuberculosis (per 100 000 population per year),2015,325 [297-355]
Iran (Islamic Republic of),Incidence of tuberculosis (per 100 000 population per year),2015,16 [12-21]
Iraq,Incidence of tuberculosis (per 100 000 population per year),2015,43 [38-49]
Ireland,Incidence of tuberculosis (per 100 000 population per year),2015,7.3 [6.2-8.4]
Israel,Incidence of tuberculosis (per 100 000 population per year),2015,4 [3.5-4.7]
Italy,Incidence of tuberculosis (per 100 000 population per year),2015,6.6 [5.6-7.6]
Jamaica,Incidence of tuberculosis (per 100 000 population per year),2015,4.5 [3.4-5.6]
Japan,Incidence of tuberculosis (per 100 000 population per year),2015,16 [14-19]
Jordan,Incidence of tuberculosis (per 100 000 population per year),2015,5.7 [4.4-7.2]
Kazakhstan,Incidence of tuberculosis (per 100 000 population per year),2015,81 [52-115]
Kenya,Incidence of tuberculosis (per 100 000 population per year),2015,380 [233-564]
Kiribati,Incidence of tuberculosis (per 100 000 population per year),2015,559 [428-707]
Kuwait,Incidence of tuberculosis (per 100 000 population per year),2015,22 [19-26]
Kyrgyzstan,Incidence of tuberculosis (per 100 000 population per year),2015,136 [116-157]
Lao People's Democratic Republic,Incidence of tuberculosis (per 100 000 population per year),2015,182 [118-260]
Latvia,Incidence of tuberculosis (per 100 000 population per year),2015,40 [34-46]
Lebanon,Incidence of tuberculosis (per 100 000 population per year),2015,12 [9.9-13]
Lesotho,Incidence of tuberculosis (per 100 000 population per year),2015,780 [484-1140]
Liberia,Incidence of tuberculosis (per 100 000 population per year),2015,308 [199-440]
Libya,Incidence of tuberculosis (per 100 000 population per year),2015,40 [26-57]
Lithuania,Incidence of tuberculosis (per 100 000 population per year),2015,55 [47-63]
Luxembourg,Incidence of tuberculosis (per 100 000 population per year),2015,6.1 [5.2-7]
Madagascar,Incidence of tuberculosis (per 100 000 population per year),2015,233 [151-333]
