,Location,Period,Indicator,Dim1,First Tooltip
9,Afghanistan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,67.57 [57.07-78.65]
183,Albania,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.42 [9.08-9.8]
309,Algeria,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,24.79 [24.25-25.34]
507,Andorra,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.37 [1.1-10.78]
612,Angola,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,84.21 [42.56-146.4]
732,Antigua and Barbuda,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,7.42 [5.81-9.44]
942,Argentina,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,10.89 [10.68-11.11]
1095,Armenia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,13.69 [10.76-16.8]
1227,Australia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.78 [3.69-3.87]
1437,Austria,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.65 [3.47-3.83]
1647,Azerbaijan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,24.56 [17.79-33.87]
1761,Bahamas,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,13.64 [11.73-15.83]
1917,Bahrain,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,7.42 [6.51-8.5]
2109,Bangladesh,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,35.68 [33.7-37.82]
2319,Barbados,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,13.73 [10.89-17.25]
2529,Belarus,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.83 [3.69-3.97]
2649,Belgium,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.8 [3.59-4.01]
2859,Belize,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,14.52 [13.44-15.65]
3018,Benin,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,97.42 [87.2-108.4]
3228,Bhutan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,31.8 [22.37-43.87]
3381,Bolivia (Plurinational State of),2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,29.46 [24.04-35.9]
3561,Bosnia and Herzegovina,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,6.17 [5.7-6.69]
3669,Botswana,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,43.64 [18.42-78.82]
3864,Brazil,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,16.36 [15.19-17.58]
4059,Brunei Darussalam,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,10.82 [10.06-11.63]
4269,Bulgaria,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,7.71 [7.41-8]
4479,Burkina Faso,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,97.03 [77.7-121.9]
4689,Burundi,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,64.08 [47.16-86.64]
4857,Cabo Verde,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,18.11 [16.41-19.98]
5067,Cambodia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,30.08 [18.49-48.81]
5202,Cameroon,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,84.52 [74.59-95.69]
5400,Canada,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,5.19 [5.07-5.3]
5610,Central African Republic,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,121.6 [78.14-190]
5790,Chad,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,125.6 [103.6-150.9]
5934,Chile,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,7.66 [7.13-8.24]
6117,China,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.91 [9.26-10.62]
6270,Colombia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,15.14 [11.65-19.52]
6474,Comoros,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,69.5 [36.62-138.5]
6624,Congo,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,52.56 [34.98-79.07]
6810,Cook Islands,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,8.41 [5.5-13.06]
7017,Costa Rica,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,8.88 [8.63-9.13]
7227,Croatia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,4.89 [4.65-5.15]
