,Location,Period,Indicator,First Tooltip
2,Afghanistan,2015,Population using at least basic drinking-water services (%),52.39
20,Albania,2015,Population using at least basic drinking-water services (%),89.88
38,Algeria,2015,Population using at least basic drinking-water services (%),88.69
56,Andorra,2015,Population using at least basic drinking-water services (%),100.0
74,Angola,2015,Population using at least basic drinking-water services (%),26.71
92,Antigua and Barbuda,2015,Population using at least basic drinking-water services (%),96.74
110,Argentina,2015,Population using at least basic drinking-water services (%),92.98
128,Armenia,2015,Population using at least basic drinking-water services (%),99.6
146,Australia,2015,Population using at least basic drinking-water services (%),100.0
164,Austria,2015,Population using at least basic drinking-water services (%),100.0
182,Azerbaijan,2015,Population using at least basic drinking-water services (%),79.28
200,Bahamas,2015,Population using at least basic drinking-water services (%),98.89
218,Bahrain,2015,Population using at least basic drinking-water services (%),100.0
236,Bangladesh,2015,Population using at least basic drinking-water services (%),96.43
254,Barbados,2015,Population using at least basic drinking-water services (%),98.47
272,Belarus,2015,Population using at least basic drinking-water services (%),95.94
290,Belgium,2015,Population using at least basic drinking-water services (%),100.0
308,Belize,2015,Population using at least basic drinking-water services (%),95.65
326,Benin,2015,Population using at least basic drinking-water services (%),57.87
344,Bhutan,2015,Population using at least basic drinking-water services (%),96.13
362,Bolivia (Plurinational State of),2015,Population using at least basic drinking-water services (%),75.41
380,Bosnia and Herzegovina,2015,Population using at least basic drinking-water services (%),94.85
398,Botswana,2015,Population using at least basic drinking-water services (%),71.89
416,Brazil,2015,Population using at least basic drinking-water services (%),87.0
434,Brunei Darussalam,2015,Population using at least basic drinking-water services (%),99.9
452,Bulgaria,2015,Population using at least basic drinking-water services (%),98.24
470,Burkina Faso,2015,Population using at least basic drinking-water services (%),37.09
488,Burundi,2015,Population using at least basic drinking-water services (%),55.56
506,Cabo Verde,2015,Population using at least basic drinking-water services (%),72.87
524,Cambodia,2015,Population using at least basic drinking-water services (%),69.86
542,Cameroon,2015,Population using at least basic drinking-water services (%),39.05
560,Canada,2015,Population using at least basic drinking-water services (%),98.77
577,Central African Republic,2015,Population using at least basic drinking-water services (%),33.75
595,Chad,2015,Population using at least basic drinking-water services (%),29.77
613,Chile,2015,Population using at least basic drinking-water services (%),98.16
631,China,2015,Population using at least basic drinking-water services (%),84.21
649,Colombia,2015,Population using at least basic drinking-water services (%),84.64
667,Comoros,2015,Population using at least basic drinking-water services (%),76.91
685,Congo,2015,Population using at least basic drinking-water services (%),41.39
703,Cook Islands,2015,Population using at least basic drinking-water services (%),99.88
721,Costa Rica,2015,Population using at least basic drinking-water services (%),98.8
739,Côte d’Ivoire,2015,Population using at least basic drinking-water services (%),57.58
757,Croatia,2015,Population using at least basic drinking-water services (%),99.57
775,Cuba,2015,Population using at least basic drinking-water services (%),89.67
