Location,Period,Indicator,First Tooltip
Afghanistan,2016,Population using at least basic drinking-water services (%),54.84
Albania,2016,Population using at least basic drinking-water services (%),89.88
Algeria,2016,Population using at least basic drinking-water services (%),88.69
Andorra,2016,Population using at least basic drinking-water services (%),100.0
Angola,2016,Population using at least basic drinking-water services (%),27.08
Antigua and Barbuda,2016,Population using at least basic drinking-water services (%),96.74
Argentina,2016,Population using at least basic drinking-water services (%),92.98
Armenia,2016,Population using at least basic drinking-water services (%),100.0
Australia,2016,Population using at least basic drinking-water services (%),100.0
Austria,2016,Population using at least basic drinking-water services (%),100.0
Azerbaijan,2016,Population using at least basic drinking-water services (%),80.43
Bahamas,2016,Population using at least basic drinking-water services (%),98.89
Bahrain,2016,Population using at least basic drinking-water services (%),100.0
Bangladesh,2016,Population using at least basic drinking-water services (%),96.56
Barbados,2016,Population using at least basic drinking-water services (%),98.48
Belarus,2016,Population using at least basic drinking-water services (%),95.96
Belgium,2016,Population using at least basic drinking-water services (%),100.0
Belize,2016,Population using at least basic drinking-water services (%),96.43
Benin,2016,Population using at least basic drinking-water services (%),58.22
Bhutan,2016,Population using at least basic drinking-water services (%),96.73
Bolivia (Plurinational State of),2016,Population using at least basic drinking-water services (%),76.76
Bosnia and Herzegovina,2016,Population using at least basic drinking-water services (%),94.85
Botswana,2016,Population using at least basic drinking-water services (%),73.71
Brazil,2016,Population using at least basic drinking-water services (%),87.87
Brunei Darussalam,2016,Population using at least basic drinking-water services (%),99.9
Bulgaria,2016,Population using at least basic drinking-water services (%),98.15
Burkina Faso,2016,Population using at least basic drinking-water services (%),36.05
Burundi,2016,Population using at least basic drinking-water services (%),56.09
Cabo Verde,2016,Population using at least basic drinking-water services (%),74.32
Cambodia,2016,Population using at least basic drinking-water services (%),71.39
Cameroon,2016,Population using at least basic drinking-water services (%),39.01
Canada,2016,Population using at least basic drinking-water services (%),98.83
Central African Republic,2016,Population using at least basic drinking-water services (%),33.75
Chad,2016,Population using at least basic drinking-water services (%),29.62
Chile,2016,Population using at least basic drinking-water services (%),98.33
China,2016,Population using at least basic drinking-water services (%),85.18
Colombia,2016,Population using at least basic drinking-water services (%),85.55
Comoros,2016,Population using at least basic drinking-water services (%),76.91
Congo,2016,Population using at least basic drinking-water services (%),43.54
Cook Islands,2016,Population using at least basic drinking-water services (%),99.88
Costa Rica,2016,Population using at least basic drinking-water services (%),99.53
Côte d’Ivoire,2016,Population using at least basic drinking-water services (%),57.71
Croatia,2016,Population using at least basic drinking-water services (%),99.57
Cuba,2016,Population using at least basic drinking-water services (%),90.31
Cyprus,2016,Population using at least basic drinking-water services (%),99.55
Czechia,2016,Population using at least basic drinking-water services (%),99.82
Democratic People's Republic of Korea,2016,Population using at least basic drinking-water services (%),90.9
Democratic Republic of the Congo,2016,Population using at least basic drinking-water services (%),22.83
Denmark,2016,Population using at least basic drinking-water services (%),100.0
Djibouti,2016,Population using at least basic drinking-water services (%),47.51
Dominican Republic,2016,Population using at least basic drinking-water services (%),90.04
Ecuador,2016,Population using at least basic drinking-water services (%),100.0
Egypt,2016,Population using at least basic drinking-water services (%),98.69
El Salvador,2016,Population using at least basic drinking-water services (%),91.81
Equatorial Guinea,2016,Population using at least basic drinking-water services (%),30.78
Eritrea,2016,Population using at least basic drinking-water services (%),27.8
Estonia,2016,Population using at least basic drinking-water services (%),99.19
Eswatini,2016,Population using at least basic drinking-water services (%),60.42
Ethiopia,2016,Population using at least basic drinking-water services (%),30.11
Fiji,2016,Population using at least basic drinking-water services (%),88.7
Finland,2016,Population using at least basic drinking-water services (%),100.0
France,2016,Population using at least basic drinking-water services (%),100.0
Gabon,2016,Population using at least basic drinking-water services (%),55.05
Gambia,2016,Population using at least basic drinking-water services (%),63.37
Georgia,2016,Population using at least basic drinking-water services (%),95.71
Germany,2016,Population using at least basic drinking-water services (%),100.0
Ghana,2016,Population using at least basic drinking-water services (%),66.79
Greece,2016,Population using at least basic drinking-water services (%),100.0
Grenada,2016,Population using at least basic drinking-water services (%),95.63
Guatemala,2016,Population using at least basic drinking-water services (%),89.66
Guinea,2016,Population using at least basic drinking-water services (%),49.24
Guinea-Bissau,2016,Population using at least basic drinking-water services (%),53.48
Guyana,2016,Population using at least basic drinking-water services (%),100.0
Haiti,2016,Population using at least basic drinking-water services (%),42.53
Honduras,2016,Population using at least basic drinking-water services (%),88.09
Hungary,2016,Population using at least basic drinking-water services (%),100.0
Iceland,2016,Population using at least basic drinking-water services (%),100.0
India,2016,Population using at least basic drinking-water services (%),89.95
Indonesia,2016,Population using at least basic drinking-water services (%),81.07
Iran (Islamic Republic of),2016,Population using at least basic drinking-water services (%),89.01
Iraq,2016,Population using at least basic drinking-water services (%),88.81
Ireland,2016,Population using at least basic drinking-water services (%),96.98
Israel,2016,Population using at least basic drinking-water services (%),100.0
Italy,2016,Population using at least basic drinking-water services (%),99.38
Jamaica,2016,Population using at least basic drinking-water services (%),84.61
Japan,2016,Population using at least basic drinking-water services (%),98.97
Jordan,2016,Population using at least basic drinking-water services (%),97.74
Kazakhstan,2016,Population using at least basic drinking-water services (%),91.03
Kenya,2016,Population using at least basic drinking-water services (%),48.9
Kiribati,2016,Population using at least basic drinking-water services (%),70.35
Kuwait,2016,Population using at least basic drinking-water services (%),100.0
Kyrgyzstan,2016,Population using at least basic drinking-water services (%),81.98
Lao People's Democratic Republic,2016,Population using at least basic drinking-water services (%),73.35
Latvia,2016,Population using at least basic drinking-water services (%),98.03
Lebanon,2016,Population using at least basic drinking-water services (%),92.6
Lesotho,2016,Population using at least basic drinking-water services (%),59.49
Liberia,2016,Population using at least basic drinking-water services (%),61.39
Libya,2016,Population using at least basic drinking-water services (%),98.53
Lithuania,2016,Population using at least basic drinking-water services (%),91.74
Luxembourg,2016,Population using at least basic drinking-water services (%),100.0
Madagascar,2016,Population using at least basic drinking-water services (%),35.55
Malawi,2016,Population using at least basic drinking-water services (%),64.36
Malaysia,2016,Population using at least basic drinking-water services (%),89.64
Maldives,2016,Population using at least basic drinking-water services (%),98.28
Mali,2016,Population using at least basic drinking-water services (%),66.46
Malta,2016,Population using at least basic drinking-water services (%),100.0
Marshall Islands,2016,Population using at least basic drinking-water services (%),85.03
Mauritania,2016,Population using at least basic drinking-water services (%),48.29
Mauritius,2016,Population using at least basic drinking-water services (%),99.83
Mexico,2016,Population using at least basic drinking-water services (%),95.44
Micronesia (Federated States of),2016,Population using at least basic drinking-water services (%),78.57
Monaco,2016,Population using at least basic drinking-water services (%),100.0
Mongolia,2016,Population using at least basic drinking-water services (%),54.69
Montenegro,2016,Population using at least basic drinking-water services (%),95.91
Morocco,2016,Population using at least basic drinking-water services (%),70.73
Mozambique,2016,Population using at least basic drinking-water services (%),37.74
Myanmar,2016,Population using at least basic drinking-water services (%),75.86
Namibia,2016,Population using at least basic drinking-water services (%),69.05
Nauru,2016,Population using at least basic drinking-water services (%),99.48
Nepal,2016,Population using at least basic drinking-water services (%),88.11
Netherlands,2016,Population using at least basic drinking-water services (%),100.0
New Zealand,2016,Population using at least basic drinking-water services (%),100.0
Nicaragua,2016,Population using at least basic drinking-water services (%),59.25
Niger,2016,Population using at least basic drinking-water services (%),42.62
Nigeria,2016,Population using at least basic drinking-water services (%),54.35
Niue,2016,Population using at least basic drinking-water services (%),98.2
Norway,2016,Population using at least basic drinking-water services (%),100.0
Oman,2016,Population using at least basic drinking-water services (%),77.9
Pakistan,2016,Population using at least basic drinking-water services (%),89.36
Palau,2016,Population using at least basic drinking-water services (%),100.0
Panama,2016,Population using at least basic drinking-water services (%),91.69
Papua New Guinea,2016,Population using at least basic drinking-water services (%),34.0
Paraguay,2016,Population using at least basic drinking-water services (%),97.02
Peru,2016,Population using at least basic drinking-water services (%),74.16
Philippines,2016,Population using at least basic drinking-water services (%),89.32
Poland,2016,Population using at least basic drinking-water services (%),98.85
Portugal,2016,Population using at least basic drinking-water services (%),100.0
Qatar,2016,Population using at least basic drinking-water services (%),99.63
Republic of Korea,2016,Population using at least basic drinking-water services (%),99.68
Republic of Moldova,2016,Population using at least basic drinking-water services (%),82.62
The former Yugoslav Republic of Macedonia,2016,Population using at least basic drinking-water services (%),90.58
Romania,2016,Population using at least basic drinking-water services (%),100.0
Russian Federation,2016,Population using at least basic drinking-water services (%),92.14
Rwanda,2016,Population using at least basic drinking-water services (%),51.93
