Location,GDP_currentUSD,HealthExpGDPperc,HALE,LifeExpectancy,NeonatalMortality
Afghanistan,19907111419,10.10534763,52.6,61.65,40.27
Albania,11386846319,4.89632177,69.03,77.84,6.03
Algeria,1.66E+11,6.97849178,65.99,76.54,15.05
Andorra,2789870188,6.23245335,,,1.71
Angola,1.16E+11,2.60579467,53.66,61.72,30.63
Antigua and Barbuda,1336692593,5.27965546,66.81,76.14,4.28
Argentina,5.95E+11,10.22933769,66.86,76.17,6.64
Armenia,10553337673,10.1176281,66,74.51,7.82
Australia,1.35E+12,9.32331181,70.56,82.28,2.35
Austria,3.82E+11,10.36746693,70.39,80.98,2.25
Azerbaijan,53074370486,4.10663605,63.09,70.67,14.24
Bahamas,11710800000,5.20896244,64.17,72.92,7.42
Bahrain,31050638298,4.97506618,66.24,76.46,3.21
Bangladesh,1.95E+11,2.46311474,63.76,73.58,22.51
Barbados,4715000000,6.7748456,67.21,76.22,9.34
Belarus,56454734397,6.06533337,65.06,73.82,1.64
Belgium,4.62E+11,10.42703342,69.99,80.71,2.22
Belize,1723800000,5.81823015,65.06,74.05,10.01
Benin,11388160958,2.90741515,54.29,61.96,32.35
Bhutan,2003598213,3.65720773,62.6,72.15,18.66
Bolivia (Plurinational State of),33000198248,6.55064964,62.73,71.52,17.06
Bosnia and Herzegovina,16211541820,9.33953667,66.97,76.32,4.56
Botswana,14420593484,5.72629929,52.78,60.93,17.02
Brazil,1.80E+12,8.87090969,64.7,75.13,9.39
Brunei Darussalam,12930394938,2.38708901,65.71,74.4,5.18
Bulgaria,50647442757,7.41338348,65.91,74.55,4.04
Burkina Faso,11832159276,5.82546854,53.35,60.92,27.99
Burundi,3104394858,6.57857561,53.96,62.05,23.3
Cabo Verde,1596800287,4.81784487,65.25,74.88,11.75
Cambodia,18049954289,6.19431591,60.75,69.17,16.87
Cameroon,30928653814,3.74885845,51.78,59.11,28.62
Canada,1.56E+12,10.68328094,71.15,81.76,3.52
Central African Republic,1695825708,5.03434181,44.16,50.53,42.9
Chad,10950392220,4.52395248,50.53,57.91,35.58
Chile,2.44E+11,8.30269146,69.44,79.82,5.1
China,1.11E+13,4.8887229,68.01,76.64,5.38
Colombia,2.93E+11,7.52338552,68.29,78.35,8.51
Comoros,966029542,4.73517609,58.19,66.45,32.64
Congo,11953249530,3.41535068,54.9,63.11,20.87
Cook Islands,,,,,4.75
Costa Rica,54775994479,7.82285929,70.04,80.78,6.21
Côte d’Ivoire,45814637971,4.42198133,52.52,60.2,
Croatia,49525747504,6.78635979,67.9,77.58,3.12
Cuba,87133000000,12.81401348,68.05,77.91,2.35
Cyprus,19842404305,6.92568588,71.63,82.01,1.58
Czechia,1.88E+11,7.24275684,68.29,78.46,1.59
Democratic People's Republic of Korea,,,64.3,71.76,11.58
Democratic Republic of the Congo,37917704900,3.99593234,52.43,60.44,29.63
Denmark,3.03E+11,10.22716618,70.53,80.59,3.27
Djibouti,2430287967,3.07555771,57,64.64,33.45
Dominica,540737037,5.1857729,,,24.61
Dominican Republic,71164825258,5.78464127,63.21,71.75,21.41
Ecuador,99290381000,8.58845711,67.49,77.18,7.89
Egypt,3.29E+11,5.33657265,62,70.49,12.85
El Salvador,23438240000,7.63034058,63.46,73.25,7.6
Equatorial Guinea,13185496836,2.91533971,52.9,61.13,31.59
Eritrea,,4.4600234,54.1,62.29,19.4
Estonia,23048864243,6.34629202,68.26,77.6,1.42
Eswatini,4062660890,7.03397036,46.91,54.05,19.64
Ethiopia,64589334979,3.82316828,58.32,66.82,31.76
Fiji,4682546881,3.32468939,59.58,67.83,9.93
Finland,2.34E+11,9.64523888,70.73,81.21,1.4
France,2.44E+12,11.46616745,71.7,81.91,2.41
Gabon,14383107714,2.65743947,56.29,64.93,22.21
Gambia,1378176868,3.17612934,55.83,64.14,29.89
Georgia,14953950557,7.93235874,64.2,72.58,6.69
Germany,3.36E+12,11.17801952,70.07,80.42,2.3
Ghana,48564863888,4.62171459,56.49,64.55,25.84
Greece,1.97E+11,8.01678371,70.43,80.38,2.66
Grenada,997007925.9,4.64675617,63.85,72.7,10.66
Guatemala,62186186576,5.85707808,61.48,70.95,14.02
Guinea,8794202444,5.80920601,51.51,58.81,31.9
Guinea-Bissau,1048229629,8.59115314,50.92,58.23,38.45
Guyana,4279840362,5.36894894,57.17,65.59,20.5
Haiti,14857386164,8.62852955,54.59,62.61,27.13
Honduras,20979767785,7.48378992,61.33,69.82,10.52
Hungary,1.25E+11,6.88948917,66.6,75.57,2.73
Iceland,17389101639,8.13130188,71.9,82.14,1.13
India,2.10E+12,3.59565997,59.14,69.31,25.87
Indonesia,8.61E+11,2.99113512,62.33,70.61,14.53
Iran (Islamic Republic of),3.85E+11,7.76057911,65.66,76.66,9.96
Iraq,1.77E+11,3.14279079,60.8,70.29,17.44
Ireland,2.92E+11,7.31716299,70.66,81.14,2.4
Israel,3.00E+11,7.10652399,71.84,81.93,2.09
Italy,1.84E+12,8.85689163,71.56,82.21,2.13
Jamaica,14187696311,5.62562609,66.59,75.85,11.22
Japan,4.39E+12,10.88550663,73.62,83.62,0.92
Jordan,38587017944,7.59315777,67.59,77.82,10.36
Kazakhstan,1.84E+11,3.04051089,63.35,71.91,5.55
Kenya,64007750169,5.21938848,56.08,64.17,22.71
Kiribati,171117872.4,7.98818541,51.62,58.2,23.83
Kuwait,1.15E+11,4.01473618,70.23,81.13,4.91
Kyrgyzstan,6678178340,7.14930916,63.74,71.59,14.69
Lao People's Democratic Republic,14390442307,2.45366454,59.29,67.08,24.44
Latvia,27239653844,5.68592453,65.76,74.8,2.59
Lebanon,49939374833,7.67934227,65.67,75.98,4.81
Lesotho,2372280103,8.49196434,41.64,47.67,43.39
Liberia,3177000000,10.37773991,52.47,61.17,33.03
Libya,27842131480,,64.35,74.6,7.49
Lithuania,41418872976,6.49459124,65.28,74.38,2.33
Luxembourg,57744457955,5.28378248,71.53,82.31,1.53
Madagascar,11323023787,5.72116804,56.3,64.19,21.81
Malawi,6373212641,9.33333778,54.89,63.04,22.82
Malaysia,3.01E+11,3.81608534,65.78,74.95,4.2
Maldives,4109447297,8.6903019,69.11,78.41,5.87
Mali,13104802016,4.11143351,52.98,60.89,34.76
Malta,11091434435,9.20896149,71.32,81.65,4.7
Marshall Islands,184599600,17.35825539,,,16.61
Mauritania,6166857629,4.70125389,58.95,67.41,34.83
Mauritius,11692287066,5.6999588,64.03,74.14,9.06
Mexico,1.17E+12,5.79708719,65.76,75.87,8.3
Micronesia (Federated States of),316489900,12.49603271,55.8,62.74,17.3
Monaco,6261622101,2.02833343,,,1.95
