Location,NTDs,Poisoning,Tobacco,Tuberculosis,Under5Mortality,DrinkingWater,AdBirthRate,Alcohol,BasicSanitization,CancerEtc,MedDocs,HALE,HIV,InfantMortality,LifeExpectancy,Malaria,MidwifeNursing,MaternalMortality,NeonatalMortality
Afghanistan,13765392,1.22,,189 [122-270],70.44 [60.72-80.86],52.39,,0.21,40.71,29.8,2.85,52.6,0.03 [0.01-0.11],53.17 [46.81-59.79],61.65,14.91,1.3,701 [501-1020],40.27 [34.34-46.94]
Albania,16,0.43,29.9,17 [14-19],9.57 [9.23-9.94],89.88,20.2,6.74,97.69,17.4,,69.03,0.04 [0.01-0.08],8.51 [8.21-8.84],77.84,,,15 [8-25],6.03 [5.49-6.54]
Algeria,7561,0.8,19.3,75 [57-94],25.18 [24.61-25.75],88.69,9.7,0.93,87.5,14.4,,65.99,0.05 [0.02-0.07],21.61 [21.13-22.1],76.54,0.0,,114 [67-199],15.05 [14.4-15.68]
Andorra,0,,34.2,5.9 [5-6.8],3.53 [1.23-10.59],100.0,3.1,11.01,100.0,,33.33,,,3.34 [1.17-10.03],,,40.13,,1.71 [0.56-5.27]
Angola,18534219,2.95,,366 [237-523],88.2 [46.58-149.6],26.71,,7.96,47.37,16.9,,53.66,0.95 [0.73-1.19],57.82 [34.14-91.99],61.72,200.0,,251 [178-353],30.63 [15.65-53.27]
Antigua and Barbuda,158,0.38,,4.3 [3.7-5],7.75 [6.27-9.56],96.74,37.7,5.89,87.5,22.6,,66.81,,6.77 [5.48-8.35],76.14,,45.09,43 [25-70],4.28 [3.31-5.47]
Argentina,5406,0.65,24.6,26 [22-30],11.47 [11.25-11.7],92.98,65.1,9.55,94.23,16.1,,66.86,0.14 [0.11-0.2],10.22 [10.02-10.43],76.17,0.0,,41 [39-44],6.64 [6.44-6.84]
Armenia,39044,0.67,27.9,50 [38-63],14.38 [11.5-17.45],99.6,24.3,5.84,93.06,23.0,29.14,66.0,0.06 [0.05-0.09],12.85 [10.24-15.6],74.51,0.0,49.54,28 [23-34],7.82 [5.73-10.38]
Australia,17476,0.2,17.7,6 [5.2-7],3.86 [3.77-3.95],100.0,11.9,10.83,99.99,9.3,34.89,70.56,0.04 [0.03-0.06],3.26 [3.18-3.33],82.28,,122.0,6 [5-8],2.35 [2.27-2.43]
Austria,65,0.24,31.5,7.5 [6.4-8.6],3.71 [3.55-3.87],100.0,7.6,12.07,99.98,11.5,51.04,70.39,No data,3.05 [2.92-3.18],80.98,,70.14,5 [4-7],2.25 [2.12-2.38]
Azerbaijan,1699962,0.58,20.7,71 [54-90],26.33 [19.78-35.01],79.28,52.4,4.58,92.46,22.5,,63.09,0.07 [0.04-0.1],23.36 [17.67-30.62],70.67,0.0,,27 [23-33],14.24 [10.22-19.48]
Bahamas,4127,0.14,11.0,19 [16-22],13.96 [12.36-15.75],98.89,,4.55,94.93,15.6,,64.17,No data,12 [10.62-13.53],72.92,,,74 [52-109],7.42 [6.34-8.65]
Bahrain,6,0.21,25.4,15 [13-17],7.57 [6.82-8.4],100.0,14.6,1.3,100.0,11.7,9.26,66.24,No data,6.48 [5.83-7.19],76.46,,24.94,15 [11-21],3.21 [2.76-3.71]
Bangladesh,49839493,0.31,40.7,221 [161-291],37.54 [35.72-39.51],96.43,75.0,0.021,45.74,21.7,4.86,63.76,No data,30.65 [29.32-32.08],73.58,2.72,2.75,200 [155-263],22.51 [21.03-24.06]
Barbados,390,0.21,8.9,0 [0-0],14.03 [11.54-17.09],98.47,,9.33,96.36,16.3,,67.21,0.22,13.01 [10.7-15.84],76.22,,,31 [20-44],9.34 [7.51-11.49]
Belarus,0,2.67,28.0,50 [38-63],4.03 [3.9-4.18],95.94,18.1,12.0,97.76,24.5,51.91,65.06,0.24 [0.18-0.34],3.04 [2.94-3.15],73.82,,110.0,3 [2-4],1.64 [1.39-1.91]
