Location,NTDs,Poisoning,Tobacco,Tuberculosis,Under5Mortality,DrinkingWater,Alcohol,BasicSanitization,CancerEtc,HALE,InfantMortality,LifeExpectancy,MaternalMortality,NeonatalMortality,BMI30Plus
Afghanistan,13765392,1.22,,189.0,70.44,52.39,0.21,40.71,29.8,52.6,53.17,61.65,701.0,40.27,5.2
Albania,16,0.43,29.9,17.0,9.57,89.88,6.74,97.69,17.4,69.03,8.51,77.84,15.0,6.03,21.1
Algeria,7561,0.8,19.3,75.0,25.18,88.69,0.93,87.5,14.4,65.99,21.61,76.54,114.0,15.05,26.7
Andorra,0,,34.2,5.9,3.53,100.0,11.01,100.0,,,3.34,,,1.71,25.4
Angola,18534219,2.95,,366.0,88.2,26.71,7.96,47.37,16.9,53.66,57.82,61.72,251.0,30.63,7.9
Antigua and Barbuda,158,0.38,,4.3,7.75,96.74,5.89,87.5,22.6,66.81,6.77,76.14,43.0,4.28,18.4
Argentina,5406,0.65,24.6,26.0,11.47,92.98,9.55,94.23,16.1,66.86,10.22,76.17,41.0,6.64,27.8
Armenia,39044,0.67,27.9,50.0,14.38,99.6,5.84,93.06,23.0,66.0,12.85,74.51,28.0,7.82,19.7
Australia,17476,0.2,17.7,6.0,3.86,100.0,10.83,99.99,9.3,70.56,3.26,82.28,6.0,2.35,28.4
Austria,65,0.24,31.5,7.5,3.71,100.0,12.07,99.98,11.5,70.39,3.05,80.98,5.0,2.25,19.7
Azerbaijan,1699962,0.58,20.7,71.0,26.33,79.28,4.58,92.46,22.5,63.09,23.36,70.67,27.0,14.24,19.3
Bahamas,4127,0.14,11.0,19.0,13.96,98.89,4.55,94.93,15.6,64.17,12.0,72.92,74.0,7.42,31.0
Bahrain,6,0.21,25.4,15.0,7.57,100.0,1.3,100.0,11.7,66.24,6.48,76.46,15.0,3.21,29.3
Bangladesh,49839493,0.31,40.7,221.0,37.54,96.43,0.021,45.74,21.7,63.76,30.65,73.58,200.0,22.51,3.4
Barbados,390,0.21,8.9,0.0,14.03,98.47,9.33,96.36,16.3,67.21,13.01,76.22,31.0,9.34,22.5
Belarus,0,2.67,28.0,50.0,4.03,95.94,12.0,97.76,24.5,65.06,3.04,73.82,3.0,1.64,24.1
Belgium,9,0.24,25.7,9.5,3.94,100.0,11.82,99.49,11.6,69.99,3.17,80.71,5.0,2.22,21.7
Belize,7300,0.51,,25.0,15.33,95.65,6.74,87.21,22.4,65.06,13.19,74.05,43.0,10.01,23.6
Benin,7029345,3.58,8.3,60.0,99.59,57.87,2.97,16.01,19.7,54.29,64.26,61.96,421.0,32.35,9.3
Bhutan,227111,0.61,,165.0,33.08,96.13,0.42,67.29,23.7,62.6,27.35,72.15,203.0,18.66,6.1
