"","Location","NTDs","Poisoning","Tuberculosis","Under5Mortality","DrinkingWater","Alcohol","BasicSanitization","CancerEtc","HALE","InfantMortality","LifeExpectancy","MaternalMortality","NeonatalMortality"
"1","Afghanistan",13765392,1.22,189,70.44,52.39,0.21,40.71,29.8,52.6,53.17,61.65,701,40.27
"2","Albania",16,0.43,17,9.57,89.88,6.74,97.69,17.4,69.03,8.51,77.84,15,6.03
"3","Algeria",7561,0.8,75,25.18,88.69,0.93,87.5,14.4,65.99,21.61,76.54,114,15.05
"4","Angola",18534219,2.95,366,88.2,26.71,7.96,47.37,16.9,53.66,57.82,61.72,251,30.63
"5","Antigua and Barbuda",158,0.38,4.3,7.75,96.74,5.89,87.5,22.6,66.81,6.77,76.14,43,4.28
"6","Argentina",5406,0.65,26,11.47,92.98,9.55,94.23,16.1,66.86,10.22,76.17,41,6.64
"7","Armenia",39044,0.67,50,14.38,99.6,5.84,93.06,23,66,12.85,74.51,28,7.82
"8","Australia",17476,0.2,6,3.86,100,10.83,99.99,9.3,70.56,3.26,82.28,6,2.35
"9","Austria",65,0.24,7.5,3.71,100,12.07,99.98,11.5,70.39,3.05,80.98,5,2.25
"10","Azerbaijan",1699962,0.58,71,26.33,79.28,4.58,92.46,22.5,63.09,23.36,70.67,27,14.24
"11","Bahamas",4127,0.14,19,13.96,98.89,4.55,94.93,15.6,64.17,12,72.92,74,7.42
"12","Bahrain",6,0.21,15,7.57,100,1.3,100,11.7,66.24,6.48,76.46,15,3.21
"13","Bangladesh",49839493,0.31,221,37.54,96.43,0.021,45.74,21.7,63.76,30.65,73.58,200,22.51
"14","Barbados",390,0.21,0,14.03,98.47,9.33,96.36,16.3,67.21,13.01,76.22,31,9.34
"15","Belarus",0,2.67,50,4.03,95.94,12,97.76,24.5,65.06,3.04,73.82,3,1.64
"16","Belgium",9,0.24,9.5,3.94,100,11.82,99.49,11.6,69.99,3.17,80.71,5,2.22
"17","Belize",7300,0.51,25,15.33,95.65,6.74,87.21,22.4,65.06,13.19,74.05,43,10.01
"18","Benin",7029345,3.58,60,99.59,57.87,2.97,16.01,19.7,54.29,64.26,61.96,421,32.35
"19","Bhutan",227111,0.61,165,33.08,96.13,0.42,67.29,23.7,62.6,27.35,72.15,203,18.66
"20","Bolivia (Plurinational State of)",1883582,2.11,117,30.98,75.41,4.64,56.91,17.4,62.73,25.09,71.52,168,17.06
"21","Bosnia and Herzegovina",0,0.53,40,6.26,94.85,6.92,95.31,18.2,66.97,5.42,76.32,10,4.56
"22","Botswana",257169,1.18,356,41.17,71.89,6.86,74.76,20.7,52.78,32.11,60.93,156,17.02
"23","Brazil",11067291,0.2,43,15.72,87,7.86,86.55,17,64.7,14.05,75.13,63,9.39
"24","Brunei Darussalam",9239,0.34,59,10.6,99.9,0.46,96.35,17,65.71,8.78,74.4,30,5.18
"25","Bulgaria",318,0.62,28,8.13,98.24,12.34,85.98,23.8,65.91,6.81,74.55,10,4.04
"26","Burkina Faso",11658638,3.03,52,100.7,37.09,11.83,18.83,21.9,53.35,59.55,60.92,343,27.99
"27","Burundi",5601304,5.3,122,67.23,55.56,7.03,45.88,22.8,53.96,45.94,62.05,568,23.3
"28","Cabo Verde",136792,0.51,64,19.54,72.87,5.95,70.47,17.4,65.25,16.71,74.88,61,11.75
"29","Cambodia",5610240,0.65,366,31.62,69.86,6.37,53.39,21.3,60.75,27.17,69.17,178,16.87
"30","Cameroon",20630132,3.25,212,88.46,39.05,6.17,38.86,21.8,51.78,57.35,59.11,554,28.62
"31","Canada",0,0.31,5.2,5.28,98.77,8.88,99.36,10,71.15,4.61,81.76,11,3.52
"32","Central African Republic",4096089,3.46,540,126.7,33.75,2.43,25.18,23.7,44.16,89.73,50.53,912,42.9
"33","Chad",6328205,3.67,144,129.4,29.77,1.45,8.84,24.1,50.53,76.06,57.91,1160,35.58
"34","Chile",40,0.21,16,7.89,98.16,9.26,99.63,12.5,69.44,6.75,79.82,14,5.1
"35","China",26100630,1.38,65,10.71,84.21,7.15,81.68,17.4,68.01,9.19,76.64,30,5.38
"36","Colombia",3846506,0.36,3,15.62,84.64,5.78,87.55,15.9,68.29,13.44,78.35,85,8.51
"37","Comoros",525978,2.43,35,71.88,76.91,0.88,35.82,23,58.19,54.08,66.45,285,32.64
"38","Congo",1346327,1.3,37,54.16,41.39,7.9,18.94,17,54.9,38.53,63.11,416,20.87
"39","Costa Rica",18569,0.29,11,9.04,98.8,4.76,97.27,11.6,70.04,7.65,80.78,28,6.21
"40","Croatia",11,0.19,13,4.93,99.57,9.07,96.49,17.2,67.9,4.2,77.58,8,3.12
"41","Cuba",43862,0.32,7.1,5.58,89.67,5.67,92.43,16.6,68.05,4.2,77.91,38,2.35
"42","Cyprus",3,0.1,6.2,2.75,99.55,10.76,99.26,11.5,71.63,2.22,82.01,7,1.58
"43","Czechia",3,0.3,5.5,3.15,99.82,14.25,99.14,15.5,68.29,2.52,78.46,4,1.59
"44","Democratic People's Republic of Korea",6082191,1.94,513,21.1,91.62,3.82,81.67,25.8,64.3,16,71.76,91,11.58
"45","Democratic Republic of the Congo",52564709,3.26,32,97.23,22.34,2.05,20.44,19.4,52.43,73.81,60.44,490,29.63
"46","Denmark",0,0.16,6.5,4.09,100,10.36,99.6,11.7,70.53,3.49,80.59,4,3.27
"47","Djibouti",108810,2.34,367,65.32,47.96,0.49,61.09,19.5,57,54.25,64.64,247,33.45
"48","Dominican Republic",989731,0.38,55,31.29,89.36,6.61,83.18,19.1,63.21,26,71.75,94,21.41
"49","Ecuador",1943932,0.65,39,15.1,81.88,4.98,86.1,13.4,67.49,12.99,77.18,63,7.89
"50","Egypt",1640557,0.22,15,23.4,98.57,0.4,93.97,28.2,62,19.86,70.49,39,12.85
"51","El Salvador",702992,0.23,48,15.3,89.25,3.59,87.01,14.1,63.46,13.16,73.25,48,7.6
"52","Equatorial Guinea",466357,2.01,172,93.99,30.78,9.08,66.18,22,52.9,68.14,61.13,296,31.59
